to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Stevens Point,U,4.00,SOC 351,Social Statistics,SOCA 250,UW-Parkside,,Statistics For Social Sciences,
UW-Stevens Point,L,1.00-3.00,SOC EL,Sociology Elective,SOCA 290,UW-Parkside,,Special Topics in Sociology:,8
UW-Stevens Point,U,2.00,SOC 352,Research Methods,SOCA 295,UW-Parkside,,Social Science Research Mthds,
UW-Stevens Point,L,3.00,GEN EL,General Elective,WGSS 103,UW-Parkside,"NS, BSNS, BANS, BMNS",Human Biology,
UW-Stevens Point,L,3.00,WGS 105,Intro Wmn's&Gndr Stds,WGSS 110,UW-Parkside,"SS2,MNS,USD,IS",Intro Wmns/Gendr/Sexualty Stds,
UW-Stevens Point,L,3.00,GEN EL,General Elective,WGSS 112,UW-Parkside,HU2,Women in Literature,
UW-Stevens Point,L,3.00,GEN EL,General Elective,WGSS 203,UW-Parkside,SS1,"Women, Power and Politics",
UW-Stevens Point,L,3.00,GEN EL,General Elective,WGSS 213,UW-Parkside,SS2,Gender and Society,
UW-Stevens Point,L,3.00,GEN EL,General Elective,WGSS 215,UW-Parkside,"HU1, BSHU1, BAHU1, BMHU1",Lgbtq Represnt on Stage/Screen,
UW-Stevens Point,L,3.00,GEN EL,General Elective,WGSS 236,UW-Parkside,SS2,Women in Modern Society,
UW-Stevens Point,U,3.00,WGS 350,Women and Science,WGSS 250,UW-Parkside,,Women in Science,
UW-Stevens Point,L,3.00,WGS EL,Women and Gender Studies Elective,WGSS 290,UW-Parkside,,Spec Tpcs Wmns/Gndr/Sexuality:,
UW-Stevens Point,L,3.00,COMM 101,Oral Communication,SPCH 105,UW-Parkside,"UCTA,COMM,OC",Public Speaking,22
UW-Stevens Point,L,3.00,COMM EL,Communications Elective,SPCH 290,UW-Parkside,,Special Topics Speech Studies,
UW-Stevens Point,L,1.00-3.00,COMM EL,Communications Elective,SPCH 299,UW-Parkside,,Independent Study,8
UW-Stout,,0.00,NDC,No Degree Credit,MODL 103,UW-Parkside,,Modern Lang I:,5
UW-Stout,,0.00,NDC,No Degree Credit,MODL 104,UW-Parkside,,Modern Lang II:,5
UW-Stout,,3.00,GEN EL,General Elective,INTS 110,UW-Parkside,,Intro to American Culture,
UW-Stout,,3.00,POLS EL,Political Science Elective,INTS 290,UW-Parkside,"SBSCI, POLS",Special Topics,
UW-Stevens Point,L,1.00,THEA 126,Theatre Practicum,THEA 010,UW-Parkside,,Theatre Practicum I,
UW-Stevens Point,L,1.00-3.00,THEA 126,Theatre Practicum,THEA 014,UW-Parkside,,Acting Practicum,8
UW-Stevens Point,L,3.00,THEA 105,Theatre Appreciation,THEA 110,UW-Parkside,"HU1,ART,BSHU1,BAHU1,BMHU1",Theatre Appreciation,
UW-Stevens Point,L,3.00,THEA EL,Theatre Elective,THEA 112,UW-Parkside,ART,Behind the Scenes,
UW-Stevens Point,L,2.00,THEA EL,Theatre Elective,THEA 117,UW-Parkside,,Theatre Dance I,
UW-Stevens Point,L,2.00,THEA EL,Theatre Elective,THEA 121,UW-Parkside,,Theatrical Make-Up I,
UW-Stevens Point,L,3.00,GEN EL,General Elective,THEA 124,UW-Parkside,"HU1, BSHU1, BAHU1, BMHU1",Basic Acting,
UW-Stevens Point,U,3.00,THEA 399,Directed Study,THEA 125,UW-Parkside,"HU1, BSHU1, BAHU1, BMHU1",Acting I,"363, 296"
UW-Stevens Point,L,3.00,THEA EL,Theatre Elective,THEA 132,UW-Parkside,,Stagecraft,
UW-Stevens Point,L,3.00,THEA EL,Theatre Elective,THEA 133,UW-Parkside,,Costumecraft,
UW-Stevens Point,L,1.00,GEN EL,General Elective,THEA 141,UW-Parkside,"HU1, BSHU1, BAHU1, BMHU1",Theatre in the City:,
