to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,1.00,HES 056,Int Swimming,PHYED (807) 231,Madison Area Tech. College,AP,Intermed Swim,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 232,Madison Area Tech. College,AP,Water Exercise,
UW Branch Campus,L,2.00,HES 058,Life Guard Training,PHYED (807) 233,Madison Area Tech. College,AP,Lifeguard Training,
UW Branch Campus,L,1.00,HES 061,Scuba Diving,PHYED (807) 234,Madison Area Tech. College,AP,Scuba Diving,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 235,Madison Area Tech. College,AP,Racquetball 2,
UW Branch Campus,L,1.00,HES 016,Lifetime Activity: Tennis,PHYED (807) 236,Madison Area Tech. College,AP,Begin Tennis,
UW Branch Campus,L,1.00,HES 017,Intermediate Tennis,PHYED (807) 237,Madison Area Tech. College,AP,Tennis 2,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 238,Madison Area Tech. College,AP,Begin Racquetball,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 239,Madison Area Tech. College,AP,Intermediate Racquetball,
UW Branch Campus,L,1.00,HES 009,Lifetime Activity: Golf,PHYED (807) 240,Madison Area Tech. College,AP,Begin Golf,
UW Branch Campus,L,1.00,HES 010,Intermediate Golf,PHYED (807) 241,Madison Area Tech. College,AP,Golf 2,
UW Branch Campus,L,1.00,HES 006,Lifetime Activity: Bowling,PHYED (807) 242,Madison Area Tech. College,AP,Bowling 1,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 243,Madison Area Tech. College,AP,Dance 1,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 244,Madison Area Tech. College,AP,Dance II,
UW Branch Campus,L,1.00,PED EL,Physical Education Elective,PHYED (807) 245,Madison Area Tech. College,AP,Social Dance,
UW Branch Campus,L,1.00,HES 029,"Training and Plyometrics,Begin",PHYED (807) 246,Madison Area Tech. College,AP,Contemporary Dance,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 247,Madison Area Tech. College,AP,Jazz 1,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 248,Madison Area Tech. College,AP,Ballet,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 249,Madison Area Tech. College,AP,Tap Dance,
UW Branch Campus,L,1.00,HES 002,Badminton,PHYED (807) 250,Madison Area Tech. College,AP,Badminton,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 251,Madison Area Tech. College,AP,Jazz 2,
UW Branch Campus,L,1.00,HES 001,Archery,PHYED (807) 253,Madison Area Tech. College,AP,Archery,
UW Branch Campus,L,1.00,HES 046,Lifetime Activity: Yoga,PHYED (807) 254,Madison Area Tech. College,AP,Beginning Yoga,
UW Branch Campus,L,2.00,HES 205,Athletic Injuries,PHYED (807) 255,Madison Area Tech. College,AP,Prev/Care Athletic Injuries,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 256,Madison Area Tech. College,,Health Club Operations,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 257,Madison Area Tech. College,AP,Tennis Tbl Tennis,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 259,Madison Area Tech. College,AP,Tennis Badminton,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 265,Madison Area Tech. College,AP,Soccer,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 266,Madison Area Tech. College,AP,Wellness Today,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 270,Madison Area Tech. College,AP,Bicycle Cond/Maintenance,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 271,Madison Area Tech. College,AP,Bicycle Conditioning,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 278,Madison Area Tech. College,AP,Bicycling/Maintenance,
UW Branch Campus,L,1.00,HES 043,Cross Country Skiing,PHYED (807) 279,Madison Area Tech. College,AP,Cross Country Ski,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 282,Madison Area Tech. College,AP,Step Aerobics,
UW Branch Campus,L,1.00,HES 024,Aerobic Dance,PHYED (807) 283,Madison Area Tech. College,AP,Aerobic Dance,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 285,Madison Area Tech. College,AP,Fall Sport Officng,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 286,Madison Area Tech. College,AP,Spring Spts Officg,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 289,Madison Area Tech. College,AP,Aerobics/Weight Training,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 290,Madison Area Tech. College,AP,Special Phys Ed,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 103,Madison Area Tech. College,,Think Critically & Creatively,5
