to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Whitewater,L,2.00,SPANISH 142,Beginning Spanish,SPANISH 103,UW-Oshkosh,GH,Sp 11a-Proj Suc (Xc),585
UW-Whitewater,L,2.00,SPANISH 142,Beginning Spanish,SPANISH 104,UW-Oshkosh,GH,Spanish 11b-Proj Suc(Xc),585
UW-Whitewater,L,4.00,SPANISH 141,Beginning Spanish,SPANISH 108,UW-Oshkosh,GH,Intro Span I Proj S,
UW-Whitewater,,4.00,SPANISH EL,Spanish Elective,SPANISH 109,UW-Oshkosh,,Int Span II Proj S,
UW-Whitewater,L,4.00,SPANISH 141,Beginning Spanish,SPANISH 110,UW-Oshkosh,GH,Intro Spanish I (Xc),
UW-Whitewater,L,4.00,SPANISH 142,Beginning Spanish,SPANISH 111,UW-Oshkosh,GH,Intro Spanish II (Xc),
UW-Whitewater,L,4.00,SPANISH 141,Beginning Spanish,SPANISH 112,UW-Oshkosh,GH,H: Intro Spanish I (Xc),
UW-Whitewater,L,4.00,SPANISH 142,Beginning Spanish,SPANISH 113,UW-Oshkosh,GH,H: Intro Spanish II (Xc),
UW-Whitewater,L,4.00,SPANISH 251,Intermediate Spanish,SPANISH 203,UW-Oshkosh,GH,Interned St. & Expr I (Xc),
UW-Whitewater,L,4.00,SPANISH 252,Intermediate Spanish,SPANISH 204,UW-Oshkosh,GH,Intrmed Str & Expr II (Xc),
UW-Whitewater,,2.00,SPANISH EL,Spanish Elective,SPANISH 207,UW-Oshkosh,,Interm Conversation I,
UW-Whitewater,,2.00,SPANISH EL,Spanish Elective,SPANISH 208,UW-Oshkosh,,Interm Conversation II,
UW-Whitewater,,3.00,SPANISH EL,Spanish Elective,SPANISH 231,UW-Oshkosh,,Span For Med Profes,
UW-Whitewater,L,4.00,SPANISH 252,Intermediate Spanish,SPANISH 248,UW-Oshkosh,GH,4th Sem Spnsh Capp (Xc),
UW-Whitewater,,3.00,SPANISH EL,Spanish Elective,SPANISH 300,UW-Oshkosh,GH,Conversaciones Culturales,
UW-Whitewater,U,3.00,SPANISH 321,Adv Spanish Lang Study,SPANISH 301,UW-Oshkosh,GH,Advanced Composition I,
UW-Whitewater,U,3.00,SPANISH 322,Adv Spanish Lang Study,SPANISH 304,UW-Oshkosh,GH,Advanced Composition II,
UW-Whitewater,U,3.00,SPANISH 310,Spanish Phonetics,SPANISH 307,UW-Oshkosh,,Spanish Phonetics,
UW-Whitewater,U,3.00,SPANISH 370,Spanish For Business,SPANISH 308,UW-Oshkosh,,Business Spanish,
UW-Whitewater,U,1.00,SPANISH 390,Spanish Conversation,SPANISH 309,UW-Oshkosh,,Advanced Spanish Conversation,8
UW-Whitewater,,3.00,SPANISH EL,Spanish Elective,SPANISH 310,UW-Oshkosh,,Spanish For Native Speakers I,
UW-Whitewater,U,3.00,SPANISH 321,Adv Spanish Lang Study,SPANISH 312,UW-Oshkosh,GH,Advanced Spanish Grammar I,8
UW-Whitewater,U,3.00,SPANISH 322,Adv Spanish Lang Study,SPANISH 313,UW-Oshkosh,GH,Advanced Spanish Grammar II,
UW-Whitewater,,3.00,SPANISH EL,Spanish Elective,SPANISH 314,UW-Oshkosh,GH,Intro to Spanish & Lat Am Lit,
UW-Whitewater,U,3.00,SPANISH 451,Survey Spanish Literature,SPANISH 315,UW-Oshkosh,,Medieval & Erly Mod. Span. Lit,
UW-Whitewater,U,3.00,SPANISH 452,Survey Spanish Literature,SPANISH 318,UW-Oshkosh,,Span Lit 18th C. to Present,
UW-Whitewater,U,3.00,SPANISH 360,Spanish Amer Civilization,SPANISH 334,UW-Oshkosh,,Latin American Civilization,
UW-Whitewater,,3.00,SPANISH EL,Spanish Elective,SPANISH 350,UW-Oshkosh,GH,Mptps Span Lit,
UW-Whitewater,,3.00,SPANISH EL,Spanish Elective,SPANISH 375,UW-Oshkosh,GH,Masterpieces in Span Lit,
UW-Whitewater,,3.00,SPANISH EL,Spanish Elective,SPANISH 376,UW-Oshkosh,GH,Hon Mastp Sp/Am Lit,
UW-Whitewater,,3.00,DNT,Does Not Transfer,SPEC ED 099,UW-Oshkosh,,Dir I Ns Basic Alg-Proj Suc,20
UW-Whitewater,,3.00,DNT,Does Not Transfer,SPEC ED 100,UW-Oshkosh,,Rem Sp Lg Hd Rd Sp,20
UW-Whitewater,,1.00,DNT,Does Not Transfer,SPEC ED 101,UW-Oshkosh,,Si Mu Sen in Pr Lab,20
UW-Whitewater,L,3.00,SPECED 205,Intro to Special Educ,SPEC ED 352,UW-Oshkosh,,Students W Dis in Gen Ed,
UW-Whitewater,,3.00,SPECED EL,Special Education Elective,SPEC ED 354,UW-Oshkosh,,Indivs W Lrng Dis,
UW-Whitewater,,3.00,SPECED EL,Special Education Elective,SPEC ED 355,UW-Oshkosh,,Beh Dev in Cld Yth,
UW-Whitewater,,6.00,SPECED EL,Special Education Elective,SPEC ED 370,UW-Oshkosh,,Pract Exp in Sp Ed,
UW-Whitewater,,2.00,SPECED EL,Special Education Elective,SPEC ED 375,UW-Oshkosh,,Indivs W E B D,
UW-Whitewater,,3.00,SPECED EL,Special Education Elective,SPEC ED 381,UW-Oshkosh,,Intro to Beh Mgmt and Instruct,
UW-Whitewater,,2.00,SPECED EL,Special Education Elective,SPEC ED 411,UW-Oshkosh,,Lang Dev For Dis,
UW-Whitewater,U,3.00,SPECED 466,Wkng Prnts Exc Chd/Com Ag,SPEC ED 414,UW-Oshkosh,,"Advocacy, Fam & Spec Ed Law",
UW-Whitewater,U,2.00,SPECED 461,Stnd Assmt For Div Lrns,SPEC ED 415,UW-Oshkosh,,Assess E C: E E N,
UW-Whitewater,,3.00,SPECED EL,Special Education Elective,SPEC ED 462,UW-Oshkosh,,App Tch Mld/Mod Ret,
UW-Whitewater,U,3.00,SPECED 426,Int Indv Diag/Assmnt Een,SPEC ED 470,UW-Oshkosh,,Assess For Spec Ed Eligibility,
UW-Whitewater,U,3.00,SPECED 326,Int Indv Diag/Assmnt Een,SPEC ED 470,UW-Oshkosh,,Assess For Spec Ed Eligibility,
UW-Whitewater,,3.00,THEATRE EL,Theatre Elective,THEATRE 150,UW-Oshkosh,,Theatre Dsgn (Xc)(Es),
UW-Whitewater,L,3.00,THEATRE 100,Theatre Appreciation,THEATRE 161,UW-Oshkosh,GA,Intro to Theatre (Xc),
