level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
"
L",6.00,GEN EL,General Elective,INTRAUNV 100,4684,"
",Engl Fund/Core Block,"

                "
"
L",6.00-9.00,GEN EL,General Elective,INTRAUNV 101,4684,"
",English/Core Block,"
8
                "
"
L",1.00,Soc/BhvSci EL,Social & Behavioral Science Elective,INTRAUNV 104,4684,"
SS",New Student Seminar,"

                "
"
L",5.00,GEN EL,General Elective,INTRAUNV 161,4684,"
",Engl & Wrtg Skll/Intl,"

                "
"
L",3.00,GEN EL,General Elective,INTRAUNV 200,4684,"
",Perspectives Nuclear War,"

                "
"
L",3.00,GEN EL,General Elective,INTRAUNV 244,4684,"
SSK",Consumers and Culture,"

                "
"
L",3.00,PHIL 209,Business Ethics,INTRAUNV 246,4684,"
",Business Ethics,"

                "
"
L",1.00,NDC,No Degree Credit,LSINDP 099,4684,"
",Career Information-L & S,"
5
                "
"
L",3.00,GEN EL,General Elective,LSINDP 105,4684,"
",Science Technol Society,"

                "
"
L",3.00,GEN EL,General Elective,LSINDP 150,4684,"
NSA",Science Technol Society,"

                "
"
L",3.00,GEN EL,General Elective,LSINDP 200,4684,"
SSJ",Perspectives Nuclear War,"

                "
"
L",3.00,GEN EL,General Elective,LSINDP 201,4684,"
",Intro to Liberal Studies,"

                "
"
L",1.00-3.00,GEN EL,General Elective,LSINDP 294,4684,"
",Honors Seminar,"
8
                "
"
L",3.00,MIS 320,Mgt Information Systems,MANGEMNT 211,4684,"
",Intro Information Systems,"

                "
"
U",3.00,MGT 349,Organizational Behavior,MANGEMNT 301,4684,"
",Organizational Behavior,"

                "
"
U",3.00,QM 319,Operations Mgt Principles,MANGEMNT 306,4684,"
",Operations Management,"

                "
"
U",3.00,HRM 343,Human Resource Management,MANGEMNT 320,4684,"
",Human Resource Management,"

                "
"
U",3.00,HRM 444,Compensation/Benefits,MANGEMNT 425,4684,"
",Compensation Management,"

                "
"
U",3.00,HRM 441,Staffing Organizations,MANGEMNT 426,4684,"
",Staffing,"

                "
"
U",3.00,HRM 442,Improving Employee Performance,MANGEMNT 428,4684,"
",Training and Development,"

                "
"
U",3.00,BUS EL,General Business Elective,MANGEMNT 429,4684,"
",Employee Benefits,"

                "
"
U",3.00,BUS 495,Capstone Strategic Management,MANGEMNT 489,4684,"
",Strategic Management,"

                "
"
U",3.00,MKT 350,Marketing Principles,MARKETNG 311,4684,"
",Principles of Marketing,"

                "
"
U",3.00,MKT 354,Marketing Research,MARKETNG 321,4684,"
",Marketing Research,"

                "
"
U",3.00,MKT 455,Marketing Management,MARKETNG 479,4684,"
",Mktg Mgmnt and Policies,"

                "
"
P",3.00,ACSK 010,Essential Math Skills,MATH 040,4684,"
",Pre-Algebra,"

                "
"
P",4.00,ACSK 015,Elementary Algebra,MATH 041,4684,"
",Beginning Algebra,"

                "
"
L",3.00,GEN EL,General Elective,MATH 102,4684,"
",Descriptve Geometry,"

                "
"
L",3.00,MATH 215,Math Mdl Chld-Erly Adl Tchr  I,MATH 111,4684,"
",Math Elem Teacher I,"

                "
"
L",3.00,MATH 216,Math Mdl Chd-Erly Adl Tchr  II,MATH 112,4684,"
",Math Elem Teacher II,"

                "
"
L",3.00,MATH 102,Survey of Mathematics,MATH 139,4684,"
CS",Quantitative Reasoning,"

                "
"
L",3.00,MATH 102,Survey of Mathematics,MATH 140,4684,"
CS",Mathematical Ideas,"

                "
"
L",4.00,MATH 111,College Algebra I,MATH 141,4684,"
CS",Fundamtls of Coll Algebra,"

                "
"
L",3.00,MATH 111,College Algebra I,MATH 141B,4684,"
CS",Intermediate Algebra,"

                "
"
L",3.00,GEN EL,General Elective,MATH 143,4684,"
NSM",Finite Business & Soc Sci,"

                "
"
L",3.00,GEN EL,General Elective,MATH 145,4684,"
",Contemporary Mathematics,"

                "
"
L",3.00,GEN EL,General Elective,MATH 148,4684,"
",Math Elem Teacher I,"

                "
"
L",3.00,GEN EL,General Elective,MATH 149,4684,"
",Math Elem Teacher II,"

                "
"
L",5.00,MATH 114,College Algebra II/Trig,MATH 152,4684,"
UCTA",Precalculus,"
226, 22
                "
"
L",1.00,GEN EL,General Elective,MATH 177,4684,"
",The Logic of Chess,"

                "
"
L",3.00,GEN EL,General Elective,MATH 230,4684,"
UCTA",Intro to Statistics,"
22
                "
"
L",3.00,GEN EL,General Elective,MATH 231,4684,"
",Undst Probability/Statis,"

                "
"
L",1.00,GEN EL,General Elective,MATH 232,4684,"
",Stat Cptr Progrm Lab,"

                "
"
L",3.00,GEN EL,General Elective,MATH 243,4684,"
",Shrt Calc Bus/Soc Science,"

                "
"
L",5.00,GEN EL,General Elective,MATH 250,4684,"
",Appld Calc Srv Bus/Soc Sc,"

                "
"
L",5.00,MATH 221,Calculus & Analytic Geometry I,MATH 253,4684,"
NSM",Calc/Analytic Geometry I,"

                "
"
L",5.00,MATH 222,Calc & Analytic Geometry II,MATH 254,4684,"
NSM",Calc/Analytic Geometry II,"

                "
"
L",3.00,MATH 223,Calc & Analytic Geometry III,MATH 255,4684,"
",Calc/Anlytc Geometry III,"

                "
"
L",3.00,GEN EL,General Elective,MATH 280,4684,"
",Discrete Mathematics,"

                "
"
L",1.00-3.00,GEN EL,General Elective,MATH 290,4684,"
",Special Topics in Mathematics,"
8
                "
"
L",1.00,GEN EL,General Elective,MUSC 060,4684,"
",Private Instrumental Instruct,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 070,4684,"
",Private Vocal Instruction,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 080,4684,"
",Private Keyboard Instruct in P,"

                "
"
L",0.00,MUSI 001,Concert Attendance,MUSC 100,4684,"
",Recital Attendance,"

                "
"
L",3.00,MUSI 101,Fundamentals of Music,MUSC 111,4684,"
HUM",Fundamentals of Music,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 126,4684,"
",Priv Instrmntl Instr (Np),"

                "
"
L",1.00,MUSI 180,Class Voice,MUSC 127,4684,"
",Priv Vocal Instruc (Np),"

                "
"
L",1.00,GEN EL,General Elective,MUSC 128,4684,"
",Priv Piano Instruc (Np),"

                "
"
L",1.00,GEN EL,General Elective,MUSC 129,4684,"
",Priv Organ Instruc (Np),"

                "
"
L",2.00,MUSI 201,Music Appreciation,MUSC 140,4684,"
HU",Intro to Classical Music,"

                "
"
L",2.00,GEN EL,General Elective,MUSC 141,4684,"
SSJ",Hist Populr Music America,"

                "
"
L",2.00,MUSI 206,Jazz Appreciation (Dv),MUSC 143,4684,"
HU,DV",Survey of American Jazz,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 144,4684,"
SSS",Cultural Music Americas,"

                "
"
L",2.00,HUMA-MUS EL,Humanities - Music Elective,MUSC 150,4684,"
HUM",Introduction Music Theory,"

                "
"
L",2.00,MUSI 121,Music Theory II,MUSC 151,4684,"
",Theory I,"

                "
"
L",2.00,MUSI 122,Music Theory II,MUSC 152,4684,"
",Theory II,"

                "
"
L",2.00,MUSI 125,Aural Music Theory I,MUSC 153,4684,"
",Aural Skills I,"

                "
"
L",3.00,GEN EL,General Elective,MCS 210,4684,"
",Concepts Database Systems,"

                "
"
L",3.00,GEN EL,General Elective,MCS 220,4684,"
",Intermediate Java,"

                "
"
L",3.00,GEN EL,General Elective,MCS 231,4684,"
",Concepts Data Structure,"

                "
"
L",3.00,GEN EL,General Elective,MCS 232,4684,"
",Cobol and Complex Systems,"

                "
"
L",2.00,MUSI 126,Aural Music Theory II,MUSC 154,4684,"
",Aural Skills II,"

                "
"
L",1.00-4.00,GEN EL,General Elective,MUSC 160,4684,"
",Prv Instr Prim Prfrm (L1),"
8
                "
"
L",1.00,MUSI 106,Jazz Appreciation (Dv),MUSC 161,4684,"
",University Bands,"

                "
"
L",1.00,MUSI 104,Music Appreciation,MUSC 162,4684,"
",Orchestra,"

                "
"
L",1.00,MUSI 109,Jazz Ensemble,MUSC 164,4684,"
",Jazz Bands,"

                "
"
L",1.00,MUSA 064,Applied Clarinet,MUSC 165,4684,"
",Clarinet Techniques,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 166,4684,"
",Folk Guitar,"

                "
"
L",1.00,MUSA 040,Applied Violin,MUSC 167,4684,"
",Violin & Viola Techniques,"

                "
"
L",1.00,MUSA 020,Applied Trumpet,MUSC 168,4684,"
",Trumpet/Horn Techniques,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 169,4684,"
",Marching Band,"

                "
"
L",1.00-4.00,MUSA 180,Applied Voice,MUSC 170,4684,"
",Priv Vocal-Prim Prfm (L1),"
8
                "
"
L",1.00,MUSI 102,Large Music Ensemble,MUSC 171,4684,"
",University Choirs,"

                "
"
L",1.00,MUSI 102,Large Music Ensemble,MUSC 175,4684,"
",University Chorus,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 177,4684,"
",Class Voice I,"

                "
"
L",1.00,MUSI 180,Class Voice,MUSC 178,4684,"
",Class Voice II,"

                "
"
L",1.00-4.00,MUSA 110,Applied Piano,MUSC 180,4684,"
",Priv Piano-Prim Prfm (L1),"
8
                "
"
L",3.00,GEN EL,General Elective,MUSC 181,4684,"
",Aural Skills I,"

                "
"
L",1.00,MUSI 141,Keyboard Musicianship I,MUSC 186,4684,"
",Class Piano I,"

                "
"
L",1.00,MUSI 142,Keyboard Musicianship II,MUSC 187,4684,"
",Class Piano II,"

                "
"
L",1.00,MUSI 241,Keyboard Musicianship III,MUSC 188,4684,"
",Class Piano III,"

                "
"
L",1.00,MUSI 242,Music Literature Lab,MUSC 189,4684,"
",Functional Class Piano,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 190,4684,"
",Music Improvisation,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 240,4684,"
DV, HUM",Survey of African Amer Music,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 241,4684,"
DV",Survey of Latin Amer Music,"

                "
"
L",2.00,MUSI 202,Music Literature,MUSC 242,4684,"
",Intro to Music Literature,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 244,4684,"
HUM",Native American Music,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 245,4684,"
SSJ",Music History I,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 246,4684,"
SSJ",Music History II,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 247,4684,"
SSJ",Music History III,"

                "
"
L",2.00,MUSI 221,Music Theory III,MUSC 251,4684,"
",Theory III,"

                "
"
L",2.00,MUSI 222,Music Theory IV,MUSC 252,4684,"
",Theory IV,"

                "
"
L",2.00,MUSI 225,Aural Music Theory III,MUSC 253,4684,"
",Aural Skills III,"

                "
"
L",2.00,MUSI 226,Popular Music Theory,MUSC 254,4684,"
",Aural Skills IV,"

                "
"
L",2.00,GEN EL,General Elective,MUSC 255,4684,"
",Elctronic Music Synthesis,"

                "
"
L",1.00-4.00,MUSI EL,Music Elective,MUSC 260,4684,"
",Priv Instr-Prim Prfm (L2),"
8
                "
"
L",0.50,MUSA 060,Applied Flute,MUSC 265,4684,"
",Flute Techniques,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 266,4684,"
",Intermediate Guitar,"

                "
"
L",1.00,MUSI EL,Music Elective,MUSC 267,4684,"
",Cello/String Bass Tech,"

                "
"
L",1.00,MUSI EL,Music Elective,MUSC 268,4684,"
",Trom/Baritone/Tuba Tech,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 269,4684,"
",Instrumental Ensemble,"

                "
"
L",1.00-4.00,MUSA 280,Applied Voice,MUSC 270,4684,"
",Priv Vocal-Prim Prfm (L2),"
8
                "
"
L",1.00,GEN EL,General Elective,MUSC 271,4684,"
",Opera Performance Tech,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 272,4684,"
",Practicum Music Theatre,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 273,4684,"
",Jazz History & Appreciation,"

                "
"
L",3.00,GEN EL,General Elective,MUSC 275,4684,"
",Diction For Singers I,"

                "
"
L",2.00,MUSI EL,Music Elective,MUSC 276,4684,"
",Diction For Singers II,"

                "
"
L",0.50,GEN EL,General Elective,MUSC 279,4684,"
",Vocal Ensemble,"

                "
"
L",1.00-4.00,MUSA 210,Applied Piano,MUSC 280,4684,"
",Priv Piano-Prim Prfm (L2),"
8
                "
"
L",2.00,MUSA 212,Applied Organ,MUSC 281,4684,"
",Aural Skills III,"

                "
"
L",2.00,GEN EL,General Elective,MUSC 290,4684,"
",Technology Music Educators,"

                "
"
L",1.00,GEN EL,General Elective,MUSC 292,4684,"
",Instrumental Techniques,"

                "
"
L",1.00,GEN EL,General Elective,PEGNRL 100,4684,"
",Cr Vets W/6 Mos Act Srvce,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 103,4684,"
",Beginning Archery,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 104,4684,"
",Beginning Badminton,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 106,4684,"
",Beg Aerobic Exer & Dance,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 108,4684,"
",Beginning Bowling,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 109,4684,"
",Intermediate Bowling,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 110,4684,"
",Beginning Jogging,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 111,4684,"
",Beg Phy Fitness Develpmnt,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 113,4684,"
",Int Aerobic Exercise/Dnce,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 115,4684,"
",Beginning Fencing,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 120,4684,"
",Beginning Golf,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 121,4684,"
",Intermediate Golf,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 125,4684,"
",Beginning Paddleball,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 134,4684,"
",Beginning Skiing,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 138,4684,"
",Beg Bicycle Touring,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 139,4684,"
",Intro to Backpacking,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 141,4684,"
",Beginning Yoga,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 142,4684,"
",Intermediate Yoga,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 143,4684,"
",Beginning Folk Dance,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 144,4684,"
",Beg Social Dance (Clscl),"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 145,4684,"
",Beginning Square Dance,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 147,4684,"
",Beg Soc Dnce (Latin/Midw),"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 148,4684,"
",Beg Contra/Rnd Dnce/Mixrs,"

                "
"
L",2.00,GEN EL,General Elective,PEGNRL 149,4684,"
",Beg Country Western Dance,"

                "
"
L",3.00,PHIL 101,Introduction to Philosophy,PHILSPHY 241,4684,"
HUP",Intro to Philosophy,"

                "
"
L",3.00,PHIL 215,Contemporary Moral Problems,PHILSPHY 245,4684,"
UCTA,HUP",Contemporary Moral Issues,"
22
                "
"
L",3.00,GEN EL,General Elective,PHILSPHY 247,4684,"
",Bioethics,"

                "
"
L",3.00,GEN EL,General Elective,PHILSPHY 248,4684,"
",Environmental Ethics,"

                "
"
L",3.00,PHIL 201,Logic,PHILSPHY 251,4684,"
",Logic,"

                "
"
L",3.00,PHIL 206,Introduction to Ethics,PHILSPHY 261,4684,"
UCTA,HUP",Introduction to Ethics,"
22
                "
"
L",3.00,PHIL 213,Aesthetics,PHILSPHY 271,4684,"
",Introduction Aesthetics,"

                "
"
L",3.00,PHIL 220,"Politics, Law, and Society",PHILSPHY 281,4684,"
",Social Philosophy,"

                "
"
",3.00,Human/Arts EL,Humanities and Arts Elective,PHILSPHY 291,4684,"
HU",Philosophy Nat/Soc Sci,"

                "
"
L",3.00,PHIL EL,Philosophy Elective,PHILSPHY 341,4684,"
",Classical Philosophy,"

                "
"
L",3.00,PHIL EL,Philosophy Elective,PHILSPHY 342,4684,"
HUP",Modern Philosophy,"

                "
"
L",3.00,PHIL EL,Philosophy Elective,PHILSPHY 343,4684,"
",American Philosophy,"

                "
"
L",3.00,PHIL EL,Philosophy Elective,PHILSPHY 345,4684,"
",Contemporary Philosophy,"

                "
"
L",3.00,PHIL EL,Philosophy Elective,PHILSPHY 365,4684,"
",Perspectives Death/Dying,"

                "
"
U",3.00,PHIL EL,Philosophy Elective,PHILSPHY 390,4684,"
",Feminist Philosophy,"

                "
"
L",3.00,PHYS EL,Physics Elective,PHYSCS 100,4684,"
",Energy,"

                "
"
L",4.00,PHYS EL,Physics Elective,PHYSCS 120,4684,"
",Light and Color,"

                "
"
L",5.00,PHYS 101,Principles of Physics,PHYSCS 130,4684,"
NSP",Physics Foundations,"

                "
"
L",5.00,PHYS 105,College Physics I,PHYSCS 140,4684,"
UCTA",Principles of Physics I,"
22
                "
"
L",3.00,PHYS EL,Physics Elective,PHYSCS 150,4684,"
",Einstein to Star Trek,"

                "
"
L",3.00,GEN EL,General Elective,PHYSCS 152,4684,"
",Photography,"

                "
"
L",4.00,PHYS 105,College Physics I,PHYSCS 160,4684,"
UCTA,NSP",General Physics I,"
261, 22
                "
"
L",1.00,PHYS 105,College Physics I,PHYSCS 161,4684,"
UCTA,NSP",General Physics Lab I,"
261, 22
                "
"
L",4.00,PHYS 106,College Physics II,PHYSCS 162,4684,"
",General Physics II,"
263
                "
"
L",1.00,PHYS 106,College Physics II,PHYSCS 163,4684,"
",General Physics Lab II,"
263
                "
"
L",3.00,PHYS 201,General Physics I,PHYSCS 170,4684,"
NSP",Introductory Physics I,"
265
                "
"
L",4.00,GEN EL,General Elective,PHYSCS 172,4684,"
NSP",Introductory Physics II,"
265
                "
"
L",1.00,GEN EL,General Elective,PHYSCS 173,4684,"
NSP",Intro Physic Laboratory I,"
265
                "
"
L",4.00,GEN EL,General Elective,PHYSCS 174,4684,"
NSP",Introductory Physics III,"
265
                "
"
L",1.00,GEN EL,General Elective,PHYSCS 175,4684,"
NSP",Intro Physics Lab II,"
265
                "
"
L",3.00,PHYS EL,Physics Elective,PHYSCS 210,4684,"
NSP",Descriptive Physics,"

                "
"
L",2.00,PHYS EL,Physics Elective,PHYSCS 221,4684,"
NSP",Intermediate Laboratory,"

                "
"
L",3.00,PHYS EL,Physics Elective,PHYSCS 240,4684,"
",Physics of Sound/Music,"

                "
"
U",3.00,PHYS 301,Classical Mechanics,PHYSCS 280,4684,"
",Eng Mechanics: Statics,"
555
                "
"
U",3.00,PHYS 301,Classical Mechanics,PHYSCS 282,4684,"
",Eng Mechanics: Dynamics,"
555
                "
"
L",1.00,GEN EL,General Elective,POLISCI 105,4684,"
",Stat & Local Suplmt to Pol 104,"

                "
"
L",3.00,POLS 100,American Politics,POLISCI 141,4684,"
UCTA,SSP",American Govmnt/Politics,"
22
                "
"
L",3.00,GEN EL,General Elective,POLISCI 217,4684,"
",Ethnic Politics,"

                "
"
L",3.00,POLS 280,Criminal Justice Process,POLISCI 247,4684,"
",Issues/Crises Amer Poltcs,"

                "
"
L",3.00,POLS 105,Introduction to Politics,POLISCI 250,4684,"
SSP",Intro Political Theory,"

                "
"
L",3.00,GEN EL,General Elective,POLISCI 255,4684,"
",Intro Comparative Politics,"

                "
"
L",3.00,CRMJ 200,Criminal Justice Rsch Mthds,POLISCI 301,4684,"
",Pol Science Rsch Methods,"

                "
"
L",3.00,POLS 203,"Women, Power and Politics",POLISCI 315,4684,"
",Women and American Politics,"

                "
"
L",3.00,CRMJ 235,Police and Society,POLISCI 316,4684,"
",Police/Crim Justice Admin,"

                "
"
L",3.00,POLS 214,Executive&Legislative Politics,POLISCI 317,4684,"
",Amer Legislative Process,"

                "
"
L",3.00,POLS 215,The Presidency,POLISCI 318,4684,"
",The American Presidency,"

                "
"
L",3.00,POLS 202,Public Policy,POLISCI 320,4684,"
",Public Policy/Administrtn,"

                "
"
U",3.00,POLS 360,Pol Parties & Interest Groups,POLISCI 321,4684,"
",Interest Group Politics,"

                "
"
L",3.00,POLS 130,State and Local Politics,POLISCI 344,4684,"
",State/Local Government,"

                "
"
L",3.00,POLS 104,Intro International Relations,POLISCI 351,4684,"
SSP",International Relations,"

                "
"
L",3.00,POLS 103,Intro to Comparative Politics,POLISCI 352,4684,"
SSP",Compartve Govrnmnt-Europe,"

                "
"
L",1.00,POLS 209,Legal Research & Writing,POLISCI 360,4684,"
",Resources Legal Research,"

                "
"
U",3.00,POLS 320,Const Law:Structr/Pwr US Govt,POLISCI 413,4684,"
",Constitutional Law,"

                "
"
U",3.00,POLS 310,Const Law: Civil Liberties,POLISCI 415,4684,"
",Criminal Justice/Const,"

                "
"
L",3.00,POLS 116,Introduction to Law,POLISCI 419,4684,"
SSP",The Judicial Process,"

                "
"
L",3.00,POLS 105,Introduction to Politics,POLISCI 420,4684,"
SSP",American Political Thght,"

                "
"
L",3.00,POLS 224,American Foreign Policy,POLISCI 457,4684,"
",American Foreign Policy,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 150,4684,"
",Beginning Swim Level 4,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 151,4684,"
",Intermediate Swim Level 6,"

                "
"
L",0.50,GEN EL,General Elective,PEGNRL 152,4684,"
",Advanced Swimming Level 7,"

                "
