4684,,3.00,BIOLOGY EL,Biological Sciences Elective,BIOS 106,4690,GM,Human Physiology & Anatomy II,
4684,,3.00,BIOLOGY EL,Biological Sciences Elective,BIOS 108,4690,,"Nutrition, Health, and Culture",
4684,L,3.00,BIOLOGY 214,Ecology and Society,BIOS 110,4690,GM,Environment and Health,
4684,L,3.00,BIOLOGY 230,Human Sexuality,BIOS 111,4690,GM,Hum Reproductive Biology,
4684,,3.00,BIOLOGY EL,Biological Sciences Elective,BIOS 120,4690,,Biological Strucs Artists,
4684,,1.00,BIOLOGY EL,Biological Sciences Elective,BIOS 133,4690,,Insects and Disease,
4684,,1.00,BIOLOGY EL,Biological Sciences Elective,BIOS 151,4690,,Trends Molecular Biology,
4684,,1.00,GEN EL,General Elective,BIOS 152,4690,,Trends in Health Sciences,
4684,,2.00,HEALTHED EL,Health Education Elective,BIOS 190,4690,,Fundamentals Human Nutrition,
4684,L,3.00,PEPROF 271,Structure/Funct Humn Body,BIOS 200,4690,,Funct Human Anatomy Lab,
4684,,4.00,BIOLOGY EL,Biological Sciences Elective,BIOS 202,4690,,General Microbiology,
4684,,1.00,BIOLOGY EL,Biological Sciences Elective,BIOS 207,4690,,Research Process in Biology,
4684,,3.00,BIOLOGY EL,Biological Sciences Elective,BIOS 210,4690,,Biostatistics,
4684,,1.00,BIOLOGY EL,Biological Sciences Elective,BIOS 290,4690,,Special Topics,"263, 8"
4684,,3.00,BIOLOGY EL,Biological Sciences Elective,BIOS 301,4690,,Cell Biology,
4684,,3.00,EDFOUND EL,Educational Foundations Elective,CBL 101,4690,,Intro to Community Engagement,
4684,L,3.00,ARTHIST 111,Art Appreciation,ART 100,4690,GA,Foundtn of Art & Visual Cultur,
4684,L,3.00,ARTSTDIO 102,2-Dimensional Design,ART 102,4690,GA,Introduction to 2-D Design,
4684,L,3.00,ARTSTDIO 103,3-Dimensional Design,ART 103,4690,GA,Introduction to 3-D Design,
4684,,3.00,ARTHIST EL,Art History Elective,ART 104,4690,GA,Introduction to Digital Art,
4684,U,3.00,ELEMMID 315,Methds Tch Art Elm/Mdl Sc,ART 108,4690,,Art/Elem Educ-Theory,
4684,,1.00,CIGENRL EL,Curriculum & Instruction General Elective,ART 109,4690,,Art/Elem Educ-Practice,
4684,L,3.00,ARTSTDIO 201,Drawing I,ART 122,4690,GA,Introduction to Drawing,
4684,L,3.00,ARTSTDIO 103,3-Dimensional Design,ART 123,4690,GA,Basic Design 3-D,
4684,L,3.00,ARTHIST 201,Srvy Art Ancient-1400ce,ART 125,4690,GA,Survey of World Art,
4684,L,3.00,ARTHIST 202,Art Survey 1400 to 1900,ART 126,4690,GA,Modern & Contmp Art 1900-Pres,
4684,L,3.00,ARTSTDIO 251,Ceramics I,ART 201,4690,GA,Beginning Ceramics,
4684,,3.00,ARTSTDIO EL,Art Studio Elective,ART 202,4690,,Beginning Fibers & Textiles,
4684,L,3.00,ARTSTDIO 202,Drawing II,ART 222,4690,,Intermediate Drawing,
4684,L,3.00,ARTSTDIO 271,Metal and Jewelry I,ART 223,4690,GA,Beginning Art Metals,
4684,,3.00,ARTSTDIO EL,Art Studio Elective,ART 231,4690,,Beginning Life Drawing,
4684,,3.00,ARTSTDIO EL,Art Studio Elective,ART 235,4690,,Life Modeling,
4684,U,3.00,ARTSTDIO 341,Sculpture I,ART 236,4690,,Beginning Sculpture,
4684,U,3.00,ARTSTDIO 331,Intaglio Printmaking,ART 251,4690,,Beginning Printmaking,
4684,U,3.00,ARTSTDIO 381,Graphic Design I: Typography,ART 271,4690,,Intro to Graphic Design,
4684,U,3.00,ARTSTDIO 321,Painting I,ART 282,4690,,Beginning Painting,
4684,,3.00,ARTSTDIO EL,Art Studio Elective,ART 283,4690,,Begin Airbrush Painting,
