level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,2.00,GEN EL,General Elective,COACHING 256,None,Psycho Social Coaching,None
None,3.00,HESM 330,Sport in Society,COACHING 260,None,Hist Soc Aspects Athletcs,None
None,3.00,GEN EL,General Elective,COACHING 265,None,Coach Comm Spon Sports,None
None,2.00,HESM 255,Coaching Theory-Football,COACHING 350,None,Coaching of Football,None
None,2.00,HESM 252,Coaching Theory-Basketball,COACHING 351,None,Coaching of Basketball,None
None,2.00,HESM 251,Coaching Theory-Baseball,COACHING 352,None,Coaching of Baseball,None
None,3.00,HESM 264,Coaching Theory-Track/Field,COACHING 353,None,Coach Track/Field/Cross Countr,None
None,2.00,GEN EL,General Elective,COACHING 356,None,Coaching of Wrestling,None
None,2.00,HESM 266,Coaching Theory-Volleyball,COACHING 359,None,Coaching of Volleyball,None
None,2.00,HESM 259,Coaching Theory-Soccer,COACHING 360,None,Coaching of Soccer,None
