4690,L,4.00,GEN EL,General Elective,BIOLOGY 251,4684,NSB,Introduction to Genetics,
4690,U,3.00,BIOS 301,Cell Biology,BIOLOGY 253,4684,,Intro to Cell Biology,
4690,L,2.00,GEN EL,General Elective,BIOLOGY 254,4684,,Biotechnology Laboratory I,
4690,U,3.00,BIOS 305,Principles of Ecology,BIOLOGY 257,4684,,Introduction to Ecology,
4690,L,4.00,BIOS 207,Research Process in Biology,BIOLOGY 303,4684,,Biostatistics,
4690,L,1.00,GEN EL,General Elective,CIFLD 160,4684,,Intro Teaching Music,
4690,L,9.00,GEN EL,General Elective,CIFLD 200E,4684,,Pre-Profess Block Elem,
4690,L,9.00,GEN EL,General Elective,CIFLD 200F,4684,,Pre-Profess Block Sec,
4690,L,1.00-3.00,GEN EL,General Elective,CIFLD 210,4684,,Observation/Participation,8
4690,L,1.00-3.00,GEN EL,General Elective,CIFLD 210E,4684,,Obsrv Part-Elementary,8
4690,L,1.00-3.00,GEN EL,General Elective,CIFLD 210F,4684,,Obsrv Part-Secondary Educ,8
4690,L,3.00,GEN EL,General Elective,CIGENRL 214,4684,,Infrm Ed Consmr,
4690,L,3.00,GEN EL,General Elective,COACHING 100,4684,,Wiaa Pri First Aid,
4690,L,2.00,HESM 283,Orientation to Coaching,COACHING 240,4684,,Introduction to Coaching,
4690,L,2.00,GEN EL,General Elective,COACHING 250,4684,,App Mechan Princpl Coach,
4690,L,1.00,GEN EL,General Elective,COACHING 251,4684,,Coach Women Athletics,
4690,L,3.00,GEN EL,General Elective,COACHING 252,4684,,Teach and Coach Sports Skills,
4690,L,2.00,HESM 301,Sport Conditioning Prac Design,COACHING 255,4684,,Conditioning Intrsch Spts,
4690,L,2.00,GEN EL,General Elective,COACHING 256,4684,,Psycho Social Coaching,
4690,L,3.00,HESM 330,Sport in Society,COACHING 260,4684,,Hist Soc Aspects Athletcs,
4690,L,3.00,GEN EL,General Elective,COACHING 265,4684,,Coach Comm Spon Sports,
4690,L,2.00,HESM 255,Coaching Theory-Football,COACHING 350,4684,,Coaching of Football,
4690,L,2.00,HESM 252,Coaching Theory-Basketball,COACHING 351,4684,,Coaching of Basketball,
4690,L,2.00,HESM 251,Coaching Theory-Baseball,COACHING 352,4684,,Coaching of Baseball,
4690,L,3.00,HESM 264,Coaching Theory-Track/Field,COACHING 353,4684,,Coach Track/Field/Cross Countr,
4690,L,2.00,GEN EL,General Elective,COACHING 356,4684,,Coaching of Wrestling,
4690,L,2.00,HESM 266,Coaching Theory-Volleyball,COACHING 359,4684,,Coaching of Volleyball,
4690,L,2.00,HESM 259,Coaching Theory-Soccer,COACHING 360,4684,,Coaching of Soccer,
4690,L,2.00,HESM 260,Coaching Theory-Softball,COACHING 361,4684,,Coaching of Softball,
4690,L,2.00,HESM 268,Officiate Team/Dual Sport,COACHING 462,4684,,Thry Tech Officiating,
4690,L,4.00,CHEM 109,Environmental Chemistry,CHEM 100,4684,NSC,Everyday Chemistry (Gl),
4690,L,5.00,CHEM 101,General Chemistry I,CHEM 102,4684,"UCTA,NSC",General Chemistry I,22
4690,L,5.00,CHEM 102,General Chemistry II,CHEM 104,4684,,General Chemistry II,
4690,L,5.00,GEN EL,General Elective,CHEM 109,4684,NSC,Elements of Chemistry,
4690,L,5.00,GEN EL,General Elective,CHEM 110,4684,NSC,Elements of Chemistry,
4690,U,3.00,CHEM 321,Organic Chemistry I,CHEM 251,4684,,Organic Chemistry,
4690,U,3.00,CHEM 322,Organic Chemistry II,CHEM 252,4684,,Organic Chemistry,
4690,U,4.00,CHEM 310,Inorganic Chemistry,CHEM 260,4684,,Inorganic Chemistry,
4690,U,2.00,CHEM 323,Organic Chemistry Lab,CHEM 261,4684,,Organic Chemistry Lab,
4690,U,2.00,CHEM 401,Advanced Organic Laboratory,CHEM 262,4684,,Organic Chemistry Lab,276
4690,L,3.00,BUS 100,Introduction to Business,BEINDP 101,4684,SSB,Business and Society,
4690,L,3.00,SPCH 105,Public Speaking,COMM 110,4684,"UCTA,HUT",Intro to Public Speaking,22
4690,L,3.00,COMM 108,Media and Society,COMM 131,4684,SSC,Intro Mass Communication,
4690,L,3.00,GEN EL,General Elective,COMM 162,4684,,Debate,
4690,L,3.00,GEN EL,General Elective,COMM 202,4684,,Principles Public Relatns,
4690,L,3.00,GEN EL,General Elective,COMM 203,4684,,Publ Relations Tactics 1,
4690,L,3.00,GEN EL,General Elective,COMM 204,4684,,Publ Relations Tactics II,
4690,L,3.00,COMM 107,Comm & Human Condition (Dv),COMM 228,4684,"SSC,DV",Interpersonal Communicatn,
4690,L,1.00,GEN EL,General Elective,COMM 230,4684,,Radio Practicum,
4690,L,1.00,GEN EL,General Elective,COMM 231,4684,,Practicum in Television,
4690,L,3.00,GEN EL,General Elective,COMM 232,4684,,Found Electronic Media,
4690,L,3.00,GEN EL,General Elective,COMM 234,4684,,Electronic Media Announce,
4690,L,3.00,ENGL 252,Introduction to Film,COMM 236,4684,,Introduction to Cinema,
4690,L,3.00,GEN EL,General Elective,COMM 238,4684,,Video Production I,
4690,L,3.00,GEN EL,General Elective,COMM 239,4684,,Audio Production I,
4690,L,3.00,COMM 105,Public Speaking,COMM 240,4684,SS,Public Speaking,
4690,L,3.00,GEN EL,General Elective,COMM 241,4684,,Elec Media Copywriting,
4690,L,3.00,COMM 202,Group Communication,COMM 242,4684,SSC,Comm & Team Building,
4690,L,3.00,GEN EL,General Elective,COMM 244,4684,SSC,Communication/Interviewng,
4690,L,3.00,GEN EL,General Elective,COMM 246,4684,,Elec Media Newswriting,
4690,L,3.00,GEN EL,General Elective,COMM 247,4684,,Intro Parliamentary Proc,
4690,L,0.50-1.00,GEN EL,General Elective,COMM 260,4684,,Intercollegiate Debate I,8
4690,L,0.50-1.00,GEN EL,General Elective,COMM 261,4684,,Intercollegiate Debate II,8
4690,L,1.00,GEN EL,General Elective,COMM 263,4684,,Practicum in Forensics,
4690,L,2.00,GEN EL,General Elective,DANCE 110,4684,,Dance Appreciation,
4690,L,2.00,GEN EL,General Elective,DANCE 141,4684,,Cont Dance Technique I,
4690,L,2.00,GEN EL,General Elective,DANCE 142,4684,,Intro Tcnqs/Improv/Cmpstn,
4690,L,2.00,GEN EL,General Elective,DANCE 143,4684,,Improvisation,
4690,L,2.00,GEN EL,General Elective,DANCE 144,4684,,Jazz Dance,
4690,L,2.00,GEN EL,General Elective,DANCE 145,4684,,Ballet I,
4690,L,1.00,GEN EL,General Elective,DANCE 200,4684,,Pract-Dance Performance,
4690,L,2.00,GEN EL,General Elective,DANCE 243,4684,,Improvisation/Sound,
4690,L,2.00,GEN EL,General Elective,DANCE 244,4684,,Contemp Dance Tech II,
4690,L,2.00,GEN EL,General Elective,DANCE 245,4684,,Contmp Dance Tech III,
4690,L,2.00,GEN EL,General Elective,DANCE 246,4684,,Ballet II,
4690,L,2.00,GEN EL,General Elective,DANCE 248,4684,,Dance Composition I,
