to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,GEN EL,General Elective,HD 265,4680,SS,Human Growth&Develpmt,
9999,L,4.00,GER 101,1st Sem German,GERM 101,4680,HU,First Year German,
9999,L,4.00,GER 102,2nd Sem German,GERM 102,4680,HU,First Year German,
9999,L,4.00,GER 201,3rd Sem German,GERM 211,4680,HU,Second Year German,
9999,L,4.00,GER 202,4th Sem German,GERM 212,4680,HU,Second Year German,
9999,L,4.00,GEN EL,General Elective,GREK 105,4680,,New Testament Greek,
9999,L,4.00,GEN EL,General Elective,GREK 106,4680,,New Testament Greek,
9999,L,3.00,EDU EL,Education Elective,HLED 104,4680,,Current Health Issues,
9999,L,3.00,EDU EL,Education Elective,HLED 140,4680,AP,Responsible Sexuality,
9999,L,3.00,HES 206,Personal Health and Wellness,HLED 145,4680,EL,Intro Hlth Ed/Promotn,
9999,L,3.00,EDU EL,Education Elective,HLED 280,4680,AP,Elem Sch Health Ed,
9999,L,0.00-3.00,BIO EL,Biology Elective,FOR 120,4680,"NS, LS",Intro to Forest Res,8
9999,L,3.00,BIO EL,Biology Elective,FOR 221,4680,"NS, LS",Dendrology,
9999,L,1.00,GEN EL,General Elective,FOR 224,4680,,Fire Operations,
9999,L,3.00,GEN EL,General Elective,FOR 227,4680,,Rec Use Forests&Parks,
9999,L,3.00,BIO EL,Biology Elective,FOR 232,4680,NS,Dendrology & Silvics,
9999,L,3.00,GEO 130,Human Impact on Envr,GEOG 100,4680,"NS,LS",Human Impcts Phys Env,
9999,L,5.00,GEO 120,Intro to Physical Geography,GEOG 101,4680,NS,Physical Environment,
9999,L,2.00,GEO EL,Geography Elective,GEOG 108,4680,SS,Env Issues Thru Films,
9999,L,3.00,GEO 115,Economic Geog,GEOG 110,4680,SS,Global Economic Geog,
9999,L,3.00,GEO 110,World Regnl Geog,GEOG 113,4680,SS,World Regional Geog,
9999,L,3.00,GEO 101,Intro Cult Geography,GEOG 120,4680,SS,Human Geography,
9999,L,1.00,GEO EL,Geography Elective,GEOG 198,4680,,Reading in Discipline,
9999,L,2.00-3.00,GEO 342,Geog of  Wisconsin,GEOG 211,4680,SS,Wisconsin,8
9999,L,3.00,GEO 341,The US and Canada,GEOG 226,4680,SS,North America,
9999,L,3.00,GEO EL,Geography Elective,GEOG 270,4680,SS,Transportation Geog,
9999,L,3.00,GEO EL,Geography Elective,GEOG 272,4680,SS,Manufacturing Geog,
9999,L,3.00,GEO EL,Geography Elective,GEOG 276,4680,NS,Intro to Cartography,
9999,L,2.00,GEO 106,Intro to Geo Info Sciences(Gis,GEOG 279,4680,"LS,NS",Fndmtls Geog Info Sys,
9999,L,3.00,GEO 347,Middle America,GEOG 301,4680,SS,Middle America,
9999,L,1.00-3.00,GEO 297,Special Topics,GEOG 391,4680,*,Special Topics,8
9999,L,1.00-3.00,GEO 299,Independent Study,GEOG 395,4680,*,Directed Study,8
9999,L,3.00,HIS 161,World History to 1500,HIST 101,4680,HU,World History to 1500,
9999,L,3.00,HIS 162,World History Since 1500,HIST 102,4680,HU,World Hist Since 1500,
