to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4674,L,3.00,BUSINESS EL,Business Administration Elective,MCS 214,4684,,Information Technology,
4674,L,3.00,COMP SCI EL,Computer Science Elective,MCS 220,4684,,Intermediate Java,
4674,L,3.00,COMP SCI 271,Data Structures,MCS 231,4684,,Concepts Data Structure,
4674,L,3.00,COMP SCI EL,Computer Science Elective,MCS 232,4684,,Cobol and Complex Systems,
4674,U,3.00,COMP SCI EL,Computer Science Elective,MCS 325,4684,,Web Development,
4674,U,3.00,INFO SYS 314,Is Analysis-Design,MCS 331,4684,,Systems Analysis/Desgn 1,
4674,U,3.00,BUSINESS 492,Business Admin Internship,MCS 391,4684,,Mcs Cooperative Program,
4674,U,3.00,COMP SCI EL,Computer Science Elective,MCS 425,4684,,Mobile Development,
4674,U,3.00,BUSINESS EL,Business Administration Elective,MCS 431,4684,,Systems Analysis/Design 2,
4674,U,3.00,COMP SCI EL,Computer Science Elective,MCS 475,4684,,Network Engineering,
4674,U,3.00,BUSINESS EL,Business Administration Elective,MCS 496,4684,,Special Studies,
4674,U,1.00-3.00,BUSINESS EL,Business Administration Elective,MCS 498,4684,,Independent Study,8
4674,L,2.00,PHY ED 107,Orientation Physical Ed,PEPROF 165,4684,,Intro to Physical Education,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 171,4684,,Fund Flag Ftbl/Tm Handbl,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 172,4684,,Fundamental of Basketball,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 173,4684,,Teach Tumbling/Gymnastics,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 174,4684,,Fundamentals Volleyball,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 175,4684,,Fund Bowling/Badminton,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 176,4684,,Fund of Archery & Golf,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 177,4684,,Fund of Track and Field,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 178,4684,,Fund Soccer & Speedball,
4674,L,2.00,KINESIOL EL,Kinesiology Elective,PEPROF 200,4684,,Fundamentals of Rhythms,
4674,L,1.00,PHY ED 107,Orientation Physical Ed,PEPROF 209,4684,,Professions in Physical Educ,
4674,L,1.00,PHY ED 247,Coaching of Softball,PEPROF 210,4684,,Fundamentals of Softball,
4674,L,1.00,PHY ED 279,Prek-12 Stunts & Tumbling,PEPROF 212,4684,,Fundamentals of Apparatus,
4674,L,1.00,KINESIOL EL,Kinesiology Elective,PEPROF 213,4684,,Fundamentals of Tennis,
4674,L,1.00,KINESIOL 201,Strength Training Techniques,PEPROF 215,4684,AC,Fnd Wght Trng/Phy Fitness,
4674,L,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 240,4684,,Stand-Based Curric/Plann,
4674,L,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 251,4684,,Water Safety Instructor,
4674,L,4.00,KINESIOL EL,Kinesiology Elective,PEPROF 271,4684,,Structure/Funct Humn Body,
4674,L,2.00,KINESIOL 104,"Aed, Cpr, and First Aid",PEPROF 281,4684,AF,First Aid & Cpr,
4674,L,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 291,4684,,Lifeguarding,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 314,4684,,Tech Teaching Dance,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 324,4684,,Tech Teaching Gymnastics,
4674,L,2.00,PHY ED 270,P E For Elem School,PEPROF 325,4684,,Pe K-3 Classroom Teacher,
4674,L,2.00,PHY ED 270,P E For Elem School,PEPROF 326,4684,,Pe 4-8 Classroom Teacher,
4674,U,2.00,PHY ED 375,Lifespan Motor Development,PEPROF 327,4684,,Motor Prog Early Childhd,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 330,4684,,Teach Mvmt Act Elem Sch,
4674,U,3.00,PHY ED 392,Instruct Methods/Element Pe,PEPROF 340,4684,,Teaching Pe Secondary,
4674,L,3.00,KINESIOL 280,Biomechanics,PEPROF 371,4684,,Kinesiology,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 380,4684,,Percep Motr Act Yng Chdrn,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 415,4684,,Hlth Apprsl and Exer Test,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 460,4684,,Beh Asp Sprt/Phy Actvties,
4674,U,3.00,KINESIOL 350,Physiology of Exercise,PEPROF 471,4684,,Physiology of Exercise,
4674,U,3.00,KINESIOL EL,Kinesiology Elective,PEPROF 472,4684,,Adv Physiology Exercise,
