to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4684,L,3.00,SPECED 205,Intro to Special Educ,TEACHING 4830,4676,,Strat Effect Inclusn,
4684,,1.00,MUSC EL,Music Elective,MUSIC 1090,4676,,Bodywork For Musicians,
4684,L,1.00,MUSC 164,Jazz Bands,MUSIC 1100,4676,GA,Jazz Ensemble,
4684,,1.00,MUSC EL,Music Elective,MUSIC 1190,4676,,World Rhythm Rudiments,
4684,L,1.00,MUSC 186,Class Piano I,MUSIC 1210,4676,,Piano Techniques - 1st Sem,
4684,L,2.00,MUSC 276,Diction For Singers II,MUSIC 1220,4676,,Diction For Singers,
4684,L,2.00,MUSC 140,Intro to Classical Music,MUSIC 1230,4676,GA,Music Appreciation,
4684,,3.00,MUSC EL,Music Elective,MUSIC 1240,4676,,Mus Makng Ethn Communities (E),
4684,L,1.00,MUSC 187,Class Piano II,MUSIC 1310,4676,,Piano Techniques - 2nd Sem,
4684,L,1.00,MUSC 186,Class Piano I,MUSIC 1340,4676,,Piano Techniques - 1st Sem,
4684,L,1.00,MUSC 164,Jazz Bands,MUSIC 1400,4676,GA,Jazz Combo,
4684,L,1.00,MUSC 162,Orchestra,MUSIC 1510,4676,GA,University/Community Orchestra,
4684,,3.00,MUSC EL,Music Elective,MUSIC 1590,4676,GA,Music Appreciation,
4684,L,1.00,MUSC 161,University Bands,MUSIC 1610,4676,GA,University Bands,
4684,,1.00,MUSC EL,Music Elective,MUSIC 1700,4676,,Aural Skills,
4684,L,1.00,MUSC 175,University Chorus,MUSIC 1710,4676,,Choir,
4684,L,3.00,MUSC 151,Theory I,MUSIC 1730,4676,,Music Theory I: Fund With Midi,
4684,,1.00,MUSC EL,Music Elective,MUSIC 1800,4676,,Aural Skills,
4684,L,1.00,MUSC 161,University Bands,MUSIC 1820,4676,GA,Marching Pioneers,
4684,L,3.00,MUSC 152,Theory II,MUSIC 1830,4676,,Mus Theory II: Tonal With Midi,
4684,,1.00,MUSC EL,Music Elective,MUSIC 1910,4676,,Choir,
4684,,3.00,MUSC EL,Music Elective,MUSIC 2030,4676,GA,Intro to Music History and Lit,
4684,L,2.00,MUSC 253,Aural Skills III,MUSIC 2140,4676,,Adv Theory - Harmny/Counterpnt,
4684,L,2.00,MUSC 251,Theory III,MUSIC 2140,4676,,Adv Theory - Harmny/Counterpnt,269
4684,L,1.00,MUSC 188,Class Piano III,MUSIC 2210,4676,,Piano Techniques - 3rd Sem,
4684,U,2.00,MUSC 356,Conducting,MUSIC 2220,4676,,Basic Conducting,
4684,L,1.00,MUSC 189,Functional Class Piano,MUSIC 2310,4676,,Piano Techniques - 4th Sem,
4684,,1.00,MUSC EL,Music Elective,MUSIC 2410,4676,,Brass Techniques,
4684,,3.00,MUSC EL,Music Elective,MUSIC 2430,4676,GA,American Music,
4684,,3.00,MUSC EL,Music Elective,MUSIC 2450,4676,,World Music Survey,
4684,,1.00,MUSC EL,Music Elective,MUSIC 2500,4676,,Topics in Music,"263, 8"
4684,U,1.00,MUSED 368,Percussion Techniques,MUSIC 2510,4676,,Percussion Techniq,
4684,,1.00,MUSC EL,Music Elective,MUSIC 2610,4676,,String Techniques,
4684,,3.00,MUSC EL,Music Elective,MUSIC 2650,4676,,History of Jazz,
4684,,1.00,MUSC EL,Music Elective,MUSIC 2710,4676,,Woodwind Techniques,
4684,,1.00,MUSC EL,Music Elective,MUSIC 2810,4676,,Ensembles,
4684,U,2.00,MUSC 356,Conducting,MUSIC 2920,4676,,Beginning Conducting,
4684,L,3.00,MUSC 254,Aural Skills IV,MUSIC 3140,4676,,Adv Theory - Harmony/Countrpnt,
