to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4658,L,2.00,GEN EL,General Elective,P ED 252,4678,,Racquet Sports,
4658,L,2.00,GEN EL,General Elective,P ED 253,4678,,Lifetime Sports,
4658,L,1.00,SPT&REC EL,Sport & Recreation Elective,P ED 255,4678,,Techniques of Sport Fishing,
4658,L,2.00,SPT&REC EL,Sport & Recreation Elective,P ED 257,4678,,Rhythms,
4658,L,3.00,SPT&REC EL,Sport & Recreation Elective,P ED 261,4678,,Motor Skills: Fit Act,
4658,L,3.00,SPT&REC EL,Sport & Recreation Elective,P ED 262,4678,,Motor Skills: Life Act,
4658,L,3.00,SPT&REC EL,Sport & Recreation Elective,P ED 263,4678,,Motor Skills: Team Act,
4658,L,3.00,SPT&REC EL,Sport & Recreation Elective,P ED 265,4678,,Physical Activities I,
4658,L,3.00,SPT&REC EL,Sport & Recreation Elective,P ED 266,4678,,Physical Activities II,
4658,L,1.00,GEN EL,General Elective,P ED 268,4678,,Beginning Football,
4658,L,2.00,GEN EL,General Elective,P ED 269,4678,,Coaching Baseball/Softball,
4658,L,2.00,KIN EL,Kinesiology Elective,P ED 270,4678,,Athletic Training Practicum,
4658,L,1.00,GEN EL,General Elective,P ED 274,4678,,On-Campus Prestudent Teaching,
4658,L,3.00,GEN EL,General Elective,P ED 275,4678,,Leadership in Adv. Ed.,
4658,L,3.00,GEN EL,General Elective,P ED 289,4678,,Special Topics: Physical Educ,
4658,L,3.00,WGS EL,Women's & Gender Studies Elective,HUM 210,4678,,Women in the Arts,
4658,L,4.00,GEN EL,General Elective,HUM 255,4678,HU,Arts & Ideas I,
4658,L,4.00,GEN EL,General Elective,HUM 256,4678,HU,Arts & Ideas II,
4658,L,1.00,FINEART EL,Fine Arts - Interdepartmental Elective,HUM 261,4678,,World Arts,
4658,L,3.00,GEN EL,General Elective,HUM 289,4678,,St: Humanities,
4658,L,3.00,MUSIC 100,Intro to Classical Music,MUS 100,4678,A,Understanding Music,
4658,L,1.00,MUSIC 150,Beginning Guitar,MUS 102,4678,A,Class Guitar,
4658,L,1.00,MUSIC 140,Class Voice Level I,MUS 103,4678,A,Class Voice,
4658,L,1.00,MUSIC 130,Beginning Piano Level I,MUS 104,4678,A,Piano For Non-Majors,
4658,L,3.00,MUSIC EL,Music Elective,MUS 130,4678,,Music Theory I,
4658,L,4.00,MUSIC EL,Music Elective,MUS 131,4678,,Music Theory II,
4658,L,1.00,MUSIC EL,Music Elective,MUS 135,4678,,Instrument Fundamentals,
4658,L,1.00,MUSIC EL,Music Elective,MUS 140,4678,,Class Piano I,
4658,L,1.00,MUSIC EL,Music Elective,MUS 141,4678,,String Techniques,
4658,L,1.00,MUSIC EL,Music Elective,MUS 144,4678,,Class Piano II,
4658,L,3.00,MUSIC EL,Music Elective,MUS 170,4678,,Recording Techniques,
4658,L,3.00,MUSIC EL,Music Elective,MUS 200,4678,A,American Music,
4658,L,1.00,MUSIC 131,Beginning Piano Level II,MUS 204,4678,A,Inter Class Piano,
4658,L,1.00,THEATRE 231,Intro to Voice and Speech,MUS 225,4678,,Voice For the Actor,
4658,L,3.00,MUSIC EL,Music Elective,MUS 230,4678,,Music Theory III,
4658,L,3.00,MUSIC EL,Music Elective,MUS 231,4678,,Music Theory IV,
4658,L,4.00,MUSIC EL,Music Elective,MUS 234,4678,A,Music History  I,
4658,L,4.00,MUSIC EL,Music Elective,MUS 235,4678,A,Music History  II,
4658,L,1.00,MUSIC EL,Music Elective,MUS 240,4678,,Piano Proficiency,
4658,L,1.00,MUSIC EL,Music Elective,MUS 241,4678,,Woodwind Techniques,
4658,L,1.00,MUSIC EL,Music Elective,MUS 242,4678,,Woodwind Techniques II,
4658,L,1.00,MUSIC EL,Music Elective,MUS 243,4678,,Brass Techniques,
4658,L,1.00,MUSIC EL,Music Elective,MUS 244,4678,,Brass Techniques II,
4658,L,1.00,MUSIC EL,Music Elective,MUS 245,4678,,Percussion Techniques,
4658,L,1.00,MUSIC EL,Music Elective,MUS 246,4678,,Percussion Techniques II,
4658,L,1.00,MUSIC EL,Music Elective,MUS 247,4678,,Diction I: Ipa & Italian,
4658,L,1.00,MUSIC EL,Music Elective,MUS 248,4678,,Diction II:  German & French,
4658,L,1.00,MUSIC EL,Music Elective,MUS 250,4678,,Jazz Improvisation I,
4658,L,1.00,MUSIC EL,Music Elective,MUS 251,4678,,Jazz Improvisation II,
4658,U,3.00,MUSIC 303,Jazz History,MUS 255,4678,,History of Jazz (D),
4658,L,3.00,MUSIC EL,Music Elective,MUS 275,4678,,Music & Art For Early Learners,
4658,L,3.00,MUSIC EL,Music Elective,MUS 289,4678,,Special Topics in Music,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 111,4678,,Archery,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 112,4678,,Swimming Testout,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 114,4678,,Bowling Testout,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 121,4678,,Cross Country Skiing Test Out,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 124,4678,,Tennis Testout,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 125,4678,,Golf Testout,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 128,4678,,Ice Skating Testout,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,PET 130,4678,,Racquetball Testout,
4658,L,3.00,PHILOS 101,Introduction to Philosophy,PHIL 151,4678,HU,Living Issues in Phil,
4658,L,3.00,PHILOS EL,Philosophy Elective,PHIL 201,4678,HU,Human Nature & Ethics,
4658,U,3.00,PHILOS EL,Philosophy Elective,PHIL 220,4678,HU,Bioethics,
4658,U,3.00,PHILOS 430,Great Thinkers- Ancient Period,PHIL 221,4678,HU,Ancient Philosophy,
4658,U,3.00,PHILOS 431,History of Medieval Philosophy,PHIL 222,4678,HU,Hellenistic & Medieval Phil,
4658,L,3.00,PHILOS EL,Philosophy Elective,PHIL 224,4678,HU,Existentialism,
4658,L,3.00,PHILOS EL,Philosophy Elective,PHIL 230,4678,HU,Logical Reasoning,
4658,L,3.00,PHILOS EL,Philosophy Elective,PHIL 232,4678,,Biblical & Phil Approach Iss,
4658,L,3.00,PHILOS 243,Moral Problems,PHIL 240,4678,"UCTA,HU",Social Ethics,22
4658,L,3.00,PHILOS 204,Intro to Asian Religions,PHIL 245,4678,HU,Eastern Rel and Islam(G),
4658,L,3.00,PHILOS 250,"God, Faith and Reason",PHIL 265,4678,HU,"God, Rel, Sci& Mean of Life",
4658,L,3.00,PHILOS EL,Philosophy Elective,PHIL 289,4678,,Special Topics in Philosophy,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 101,4678,,Tumbling,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 102,4678,,In-Line Skating,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 103,4678,,Running For Beginners,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 104,4678,,Walking For Health & Fitness,
4658,L,1.00,SPT&REC EL,Sport & Recreation Elective,P E 108,4678,,Health & Fitness For Life,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 110,4678,,Movement For the Body & Mind,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 111,4678,,Archery,
4658,L,5.00,SPT&REC 120,Swim I,P E 112,4678,,Swimming I,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 113,4678,,Swimming II,
4658,L,5.00,SPT&REC 161,Bowling I,P E 114,4678,,Bowling,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 115,4678,,Handball,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 116,4678,,Racquetball & Weight Training,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 117,4678,,Fencing,
4658,L,5.00,SPT&REC 126,Skin & Scuba,P E 118,4678,,Scuba,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 119,4678,,Fishing Rod Building,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 120,4678,,Hunting,
4658,L,5.00,SPT&REC 154,X-Country Skiing,P E 121,4678,,Cross Country Skiing,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 122,4678,,Canoeing & Sm Crafts,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 123,4678,,Wrestling,
4658,L,5.00,SPT&REC 182,Tennis I,P E 124,4678,,Tennis,
4658,L,5.00,SPT&REC 166,Golf,P E 125,4678,,Golf,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 126,4678,,Fitness & Weight Control,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 127,4678,,Comprehensive Bicycling,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 128,4678,,Fundamentals of Ice Skating,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 129,4678,,Synchronized Swimming,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 130,4678,,Racquetball,
4658,L,5.00,SPT&REC 114,Weight Training I,P E 131,4678,,Weight Training,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 132,4678,,Scuba II,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 133,4678,,Aikido:Self-Defense & Movement,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 134,4678,,Badminton,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 135,4678,,Triathlon,
4658,L,5.00,SPT&REC 191,Volleyball,P E 136,4678,,Volleyball,
4658,L,5.00,SPT&REC 185,Karate I,P E 137,4678,,Karate,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 138,4678,,Aerobics,
4658,L,5.00,SPT&REC 112,Yoga I,P E 139,4678,,Introduction to Yoga,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 140,4678,,Movement As Meditation,
4658,L,5.00,SPT&REC EL,Sport & Recreation Elective,P E 141,4678,,Basketball Skills,
