to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,EDU 300,The Exceptionl Indiv,SPEC ED 352,4674,SS,Students W Dis in Gen Ed,
9999,L,3.00,PSY 202,Introductory Psych,PSYCH 101,4674,"UCTA,SS",General Psychology (Xs),22
9999,L,3.00,PSY 202,Introductory Psych,PSYCH 104,4674,"UCTA,SS",H: General Psychology (Xs),22
9999,L,3.00,PSY 202,Introductory Psych,PSYCH 110,4674,"UCTA,SS",General Psychology-Maj,22
9999,L,2.00,PSY EL,Psychology Elective,PSYCH 115,4674,,Exploring Careers,
9999,L,3.00,PSY 202,Introductory Psych,PSYCH 201,4674,"UCTA,SS",General Psych  (Ss),22
9999,L,1.00,PSY EL,Psychology Elective,PSYCH 202,4674,SS,Gen Psych Lab,
9999,L,3.00,PSY 210,Statistical Methods,PSYCH 203,4674,MS,Elementary Psychological Stats,
9999,L,3.00,PSY 202,Introductory Psych,PSYCH 204,4674,"UCTA,SS",H: Gen Psychol (Ss),22
9999,L,3.00,PSY 330,Social Psychology,PSYCH 205,4674,SS,Social Psychology,
9999,L,3.00,PSY 202,Introductory Psych,PSYCH 210,4674,"UCTA,SS",Gen Psy For Maj(Ss),22
9999,L,3.00,PSY EL,Psychology Elective,PSYCH 220,4674,,Health Psychology (Ss),
9999,L,1.00-3.00,PSY EL,Psychology Elective,PSYCH 225,4674,AP,Psychology Field Study,8
9999,L,3.00,PSY 205,Dynamics of Hum Beha,PSYCH 231,4674,SS,Per & Soc Adj,
9999,L,3.00,PSY EL,Psychology Elective,PSYCH 271,4674,SS,Cross-Cltr Psych (Es)(Xs),
9999,L,3.00,PSY EL,Psychology Elective,PSYCH 280,4674,SS,Cognitive Psychology,
9999,L,3.00,PSY 250,Life Span Devel Psy,PSYCH 291,4674,SS,Developmental Psychology,
9999,L,0.00,NDC,No Degree Credit,PSYCH 299,4674,,Admission to Major,5
9999,L,3.00,PSY 309,Abnormal Psychology,PSYCH 303,4674,SS,Psychol of Abnormal Behav,
9999,L,3.00,PSY 362,Psy of Adulthd and Aging,PSYCH 338,4674,SS,Adult Devel & Aging (Ss)(Xs),
9999,L,3.00,PSY 361,Developmntl:Adolscnt,PSYCH 355,4674,SS,Psy of Adolescence,
9999,L,3.00,PSY 254,Behav Neuroscience,PSYCH 383,4674,NS,Biological Psychology,
9999,L,3.00,PSY 307,Psych of Personality,PSYCH 473,4674,SS,Personality & Indv Diffr,
9999,P,0.00,NDC,No Degree Credit,ACAD 100,4674,,Developmental Reading Skills,5
9999,P,2.00,NDC,No Degree Credit,ACAD 115,4674,,Academic Recovery,5
9999,P,1.00,NDC,No Degree Credit,ACAD 125,4674,,Comprehensive Study Skills,5
9999,P,2.00,NDC,No Degree Credit,ACAD 135,4674,,Applied Study Skills,5
9999,P,1.00,NDC,No Degree Credit,ACAD 169,4674,,College Reading Strategies,5
9999,L,3.00,ANT 100,Intro to General Anthro,ANTHRO 102,4674,SS,Intro to Anthro (Xs),
9999,L,3.00,ANT 204,Cultures of the World,ANTHRO 122,4674,SS,Global Community(Xs),
9999,L,3.00,ANT EL,Anthropology Elective,ANTHRO 123,4674,,Cultural Diversity(Es)(Xc),
9999,L,4.00,ANT 105,Intro to Biological Anthro,ANTHRO 202,4674,"LS,NS",Intro to Bio Anthro (Xl),
9999,L,3.00,ANT 104,Intro to Cultural Anthropology,ANTHRO 232,4674,SS,Cultural Anthro (Nw)(Ss)(Xs),
9999,L,3.00,ANT EL,Anthropology Elective,ANTHRO 250,4674,SS,Archaeology (Ss)(Xs)(Nw),
9999,L,3.00,ANT EL,Anthropology Elective,ANTHRO 272,4674,HU,Nature of Languages,
9999,L,3.00,ANT EL,Anthropology Elective,ANTHRO 274,4674,,Lang in Culture (Hu)(Xc)(Nw),
9999,L,4.00,GEN EL,General Elective,ARABIC 110,4674,,Intro to Arabic I (Xc),
9999,L,4.00,GEN EL,General Elective,ARABIC 111,4674,,Intro to Arabic II(Xc),
9999,L,4.00,GEN EL,General Elective,ARABIC 210,4674,AP,Interm Arabic I (Xc),
9999,L,4.00,GEN EL,General Elective,ARABIC 211,4674,AP,Interm Arabic II (Xc),
4684,,2.00,EDFOUND EL,Educational Foundations Elective,ED FOUND 110,4674,,Intro to Prof Educ,
4684,U,2.00,CIGENRL 350,Intro to Esl and Bilin Ed,ED FOUND 210,4674,,Multicultural Educ,"570, 268"
4684,L,3.00,EDFOUND 222,Child Development,ED FOUND 235,4674,,Child & Adlscnt Dvlpmt (Xs),
4684,L,3.00,EDFOUND 212,Educational Psychology,ED FOUND 280,4674,,Educational Psych,
4684,,3.00,EDFOUND EL,Educational Foundations Elective,ED FOUND 310,4674,,Meas & Eval in Educ,
4684,L,3.00,EDFOUND 222,Child Development,ED FOUND 377,4674,,Human Growth and Development,
