to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 147,4690,AP,Applied Bass,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 148,4690,AP,Applied Classical Guitar,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 149,4690,AP,Applied Classical Guitar,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 160,4690,AP,Applied Flute,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 161,4690,AP,Applied Flute,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 162,4690,AP,Applied Oboe,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 163,4690,AP,Applied Oboe,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 164,4690,AP,Applied Clarinet,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 165,4690,AP,Applied Clarinet,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 166,4690,AP,Applied Saxophone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 167,4690,AP,Applied Saxophone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 168,4690,AP,Applied Bassoon,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 169,4690,AP,Applied Bassoon,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 180,4690,AP,Applied Voice,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 181,4690,AP,Applied Voice,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 184,4690,AP,Applied Percussion,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 185,4690,AP,Applied Percussion,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 210,4690,AP,Applied Piano,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 211,4690,AP,Applied Piano,
9999,L,2.00,MUA EL,Music Applied Elective,MUSA 212,4690,AP,Applied Organ,
9999,L,2.00,MUA EL,Music Applied Elective,MUSA 213,4690,AP,Applied Organ,
9999,L,2.00,MUA EL,Music Applied Elective,MUSA 216,4690,AP,Applied Harpsichord,
9999,L,2.00,MUA EL,Music Applied Elective,MUSA 217,4690,AP,Applied Harpsichord,
9999,L,2.00,MUA EL,Music Applied Elective,MUSA 220,4690,AP,Applied Trumpet,
9999,L,2.00,MUA EL,Music Applied Elective,MUSA 221,4690,AP,Applied Trumpet,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 222,4690,AP,Applied Horn,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 223,4690,AP,Applied Horn,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 224,4690,AP,Applied Trombone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 225,4690,AP,Applied Trombone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 226,4690,AP,Applied Baritone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 227,4690,AP,Applied Baritone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 228,4690,AP,Applied Tuba,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 229,4690,AP,Applied Tuba,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 240,4690,AP,Applied Violin,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 241,4690,AP,Applied Violin,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 242,4690,AP,Applied Viola,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 243,4690,AP,Applied Viola,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 244,4690,AP,Applied Cello,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 245,4690,AP,Applied Cello,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 246,4690,AP,Applied Bass,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 247,4690,AP,Applied Bass,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 248,4690,AP,Applied Classical Guitar,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 249,4690,AP,Applied Classical Guitar,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 260,4690,AP,Applied Flute,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 261,4690,AP,Applied Flute,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 262,4690,AP,Applied Oboe,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 263,4690,AP,Applied Oboe,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 264,4690,AP,Applied Clarinet,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 265,4690,AP,Applied Clarinet,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 266,4690,AP,Applied Saxophone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 267,4690,AP,Applied Saxophone,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 268,4690,AP,Applied Bassoon,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 269,4690,AP,Applied Bassoon,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 280,4690,AP,Applied Voice,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 281,4690,AP,Applied Voice,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 284,4690,AP,Applied Percussion,
9999,L,1.00,MUA EL,Music Applied Elective,MUSA 285,4690,AP,Applied Percussion,
9999,L,3.00,BUS EL,Business Elective,QM 210,4690,MS,Business Statistics I,
9999,L,3.00,BUS EL,Business Elective,QM 211,4690,MS,Business Statistics II,
4556,,3.00,COMMSK (801) 196,Oral/Interpersonal Comm,COMM 105,4690,,Public Speaking,18
4556,,3.00,COMMSK (801) 198,Speech,COMM 105,4690,UCTA,Public Speaking,"18, 22"
4556,,3.00,COMMSK (801) 196,Oral/Interpersonal Comm,COMM 107,4690,,Comm & Human Condition (Dv),
4556,,2.00,MATH (804) 109,Algebra,MATH 111,4690,,College Algebra I,6
4556,,4.00,MATH (804) 121,Math-Technical 1,MATH 111,4690,,College Algebra I,"516, 538"
4556,,3.00,MATH (804) 125,Math-Technical Basic,MATH 111,4690,,College Algebra I,6
4556,,3.00,MATH (804) 126,Math-Technical Intermediate,MATH 111,4690,,College Algebra I,"517, 553"
4556,,4.00,MATH (804) 122,Math-Technical 2,MATH 112,4690,,College Algebra II,538
4556,,3.00,MATH (804) 126,Math-Technical Intermediate,MATH 112,4690,,College Algebra II,"553, 6"
4556,,4.00,MATH (804) 122,Math-Technical 2,MATH 114,4690,"UCTA,",College Algebra II/Trig,"516, 6, 22"
