4615,L,3.00-4.00,SOCSCI (809) 204,Marriage Family,SOC 120,4656,,Marriage and Family,
4615,L,3.00-4.00,SOCSCI (809) 205,Contemp Society,SOC 125,4656,"UCTA,",Amer Soc: How It Really Works,"8, 22"
4615,L,3.00,SOCSCI (809) 202,Social Problems,SOC 130,4656,,Social Problems,"8, 22"
4615,,3.00-4.00,SOCSCI (809) 172,Introduction to Diversity Stud,SOC 134,4656,UCTA,Am Racial&Ethnic Minorities,22
4615,L,3.00-4.00,SOCSCI (809) 253,Sociology of Gender,SOC 138,4656,,The Sociology of Gender,
4615,L,3.00-4.00,SOCSCI (809) 255,Introduction to Lgbtq+ Studies,SOC 200,4656,,Intro to Lgbtq+ Studies,
4615,L,3.00-4.00,SOCSCI (809) 203,Intro Sociology,SOC 210,4656,,Survey of Sociology,"8, 22"
4615,L,3.00-4.00,SOCSCI (809) 252,Race and Ethnicity in the U.S.,SOC 220,4656,,Ethnic Movements in U.S.,
4615,L,3.00-4.00,SOCSCI (809) 204,Marriage Family,SOC 120,4656,,Marriage and Family,
4615,L,3.00-4.00,SOCSCI (809) 205,Contemp Society,SOC 125,4656,"UCTA,",Amer Soc: How It Really Works,"8, 22"
4615,L,3.00,SOCSCI (809) 202,Social Problems,SOC 130,4656,,Social Problems,"8, 22"
4615,,3.00-4.00,SOCSCI (809) 172,Introduction to Diversity Stud,SOC 134,4656,UCTA,Am Racial&Ethnic Minorities,22
4615,L,3.00-4.00,SOCSCI (809) 253,Sociology of Gender,SOC 138,4656,,The Sociology of Gender,
4615,L,3.00-4.00,SOCSCI (809) 255,Introduction to Lgbtq+ Studies,SOC 200,4656,,Intro to Lgbtq+ Studies,
4615,L,3.00-4.00,SOCSCI (809) 203,Intro Sociology,SOC 210,4656,,Survey of Sociology,"8, 22"
4615,L,3.00-4.00,SOCSCI (809) 252,Race and Ethnicity in the U.S.,SOC 220,4656,,Ethnic Movements in U.S.,
4615,L,3.00-4.00,SOCSCI (809) 204,Marriage Family,SOC 120,4656,,Marriage and Family,
4615,L,3.00-4.00,SOCSCI (809) 205,Contemp Society,SOC 125,4656,"UCTA,",Amer Soc: How It Really Works,"8, 22"
4615,L,3.00,SOCSCI (809) 202,Social Problems,SOC 130,4656,,Social Problems,"8, 22"
4615,,3.00-4.00,SOCSCI (809) 172,Introduction to Diversity Stud,SOC 134,4656,UCTA,Am Racial&Ethnic Minorities,22
4615,L,3.00-4.00,SOCSCI (809) 253,Sociology of Gender,SOC 138,4656,,The Sociology of Gender,
4615,L,3.00-4.00,SOCSCI (809) 255,Introduction to Lgbtq+ Studies,SOC 200,4656,,Intro to Lgbtq+ Studies,
4615,L,3.00-4.00,SOCSCI (809) 203,Intro Sociology,SOC 210,4656,,Survey of Sociology,"8, 22"
4615,L,3.00-4.00,SOCSCI (809) 252,Race and Ethnicity in the U.S.,SOC 220,4656,,Ethnic Movements in U.S.,
