course
""
ARCH 100 Architectural Making I
ARABIC 101 First Semester Arabic
ART ED 130 Multicultural Art and Visual Learning in Elementary Education
ATM SCI 100 Survey of Meteorology
ASTRON 103 Survey of Astronomy
BME 101 Fundamentals of Biomedical Engineering
APC 300 Programming 1
BIO SCI 100 Survey of Zoology
ARTHIST 101 Ancient and Medieval Art and Architecture
ART 100 American Art and Culture
GEO SCI 100 Introduction to the Earth
AFRIC 100 Black Reality: Survey of African-American Society
AIS 101 Introduction to American Indian Studies
ANTHRO 14 Foundations of Flamenco
AD LDSP 297 Study Abroad:
WGS 150 Multicultural America
UWS NSG 317 Health Assessment
GEOG 105 Introduction to Human Geography
THERREC 103 Introduction to Leisure
THRPTTP 699 Independent Study:
URBPLAN 140 Issues in Contemporary Urban Planning
URB STD 150 Multicultural America
TRNSLTN 201 Introduction to Translation and Interpreting Studies
MSP 760 The Politics and Policy of Sustainability
SCNDVST 101 First-Semester Swedish
THEATRE 100 Introduction to the Theatre
SPT&REC 100 Sports Officiating - Basketball
RELIGST 101 Introduction to World Religions
SOC WRK 100 Introduction to Social Work
RUSSIAN 101 First-Semester Russian
SPANISH 103 First-Semester Spanish
SOCIOL 101 Introduction to Sociology
PUB ADM 243 Public Administration
POLISH 101 First-Semester Polish
PRPP 521 Pathoetiology of Tissue Injury
PORTUGS 103 First-Semester Portuguese
PSYCH 101 Introduction to Psychology
PH 101 Introduction to Public Health
POL SCI 103 Introduction to Political Science
PEACEST 201 Introduction to Conflict Resolution and Peace
PHYSICS 100 Quantitative Preparation for Physics
NUTR 101 Introduction to the Nutrition Profession
PHILOS 101 Introduction to Philosophy:
NONPROF 704 Seminar in Nonprofit Organizations
OCCTHPY 151 Foundations of Scientific Inquiry for Occupational Studies
MIL SCI 101 Military Physical Training and Conditioning I
MUS ED 249 Diction Survey
NURS 101 Cultural Diversity in Health Care
MECHENG 101 Computational Tools for Engineers
MTHSTAT 194 First-Year Seminar:
MUSIC 1 Theory Fundamentals
MALLT 700 Language Teaching Methods
MATH 90 Basic Mathematics
MATLENG 150 It's a Material World: The Role of Materials in Society
MUSPERF 1 Fundamentals of Piano:
LIBRLST 701 Traditions and Transformations I:
L&S SS 193 First-Year Seminar:
L&S NS 111 Introduction to the Practice of Pharmacy
LGBT 192 First-Year Seminar:
LATINO 101 Introduction to Latino Studies
L&S HUM 192 First-Year Seminar:
LINGUIS 100 The Diversity of Human Language
LACUSL 199 Independent Study
LACS 101 Introduction to Latin American and Caribbean Studies
LATIN 103 First Semester Latin
KOREAN 101 First-Semester Korean
"JEWISH 101 Jewish Culture in America: History, Literature, Film"
INTLST 193 First-Year Seminar:
JAPAN 100 Introduction to Japanese Literature
JAMS 101 Introduction to Mass Media
KIN 190 Topics Course in Physical Activity:
IND REL 701 Industrial and Labor Relations
ITALIAN 20 Great Italians:
HMONG 105 First-Semester Hmong
HONORS 200 Honors Seminar: The Shaping of the Modern Mind:
IND ENG 111 Introduction to Engineering
INFOST 101 Information Literacy
HS 101 Introduction to Health and Disease
GREEK 103 First Semester Greek
GRAD 801 Preparing Future Faculty & Professionals:
HEBR ST 100 Introduction to Judaism
HCA 203 Human Life Cycle
HIST 101 Western Civilization: Ancient World to 1500
GLOBAL 101 Introduction to Global Studies I: People and Politics
FOODBEV 101 Introduction to Food Studies
FINEART 299 Independent Study
FLL 101 How to Learn a Language
GERMAN 101 First-Semester German
FRSHWTR 190 Topics in Freshwater Sciences:
FRENCH 103 First-Semester French
EAP 100 Introduction to College Writing for Multilingual Students
"ETHNIC 101 The Making of American Cultures: Africans, Europeans, and Indian Nations"
EOH 821 Advanced Survey of Environmental Health
FILM 107 Digital Filmmaking for Non-Majors
"FILMSTD 111 Entertainment Arts: Film, Television, and the Internet"
EAS 1 Engineering Co-op Work Period
EDUC 701 Urban Educational Issues
EXCEDUC 200 Fieldwork in Exceptional Education:
DAC 199 Independent Study
ELECENG 101 Fundamentals of Electrical Engineering
ECON 100 Introductory Economics
ED PSY 100 Learning Skills Laboratory
ED POL 100 Prior Professional Education Experience
ENGLISH 90 Basic Writing
DMI 101 Introduction to Medical Imaging
COMPST 701 Mathematical & Computing Fundamentals for IT Professionals
CRM JST 105 Orientation for Social Welfare Students
CES 199 Independent Study
COUNS 297 Study Abroad:
COMPLIT 133 Contemporary Imagination in Literature and the Arts
CURRINS 110 Reading Proficiency for College Students I
DANCE 103 Introduction to Iyengar Yoga
CHS 100 New Student Seminar in Health Professions
CLASSIC 101 Latin and Greek in English Words
COMPSCI 101 Introduction to PC Application Software
COMSDIS 210 Survey of Communication Disorders
COMMUN 101 Introduction to Interpersonal Communication
CELTIC 103 First Semester Gaelic
CIV ENG 150 Builders for Civilization and Environment
BUSMGMT 704 Accounting Analysis and Control
CHINESE 101 First Semester Chinese
BMS 101 Introduction to Clinical Laboratory Sciences
CHEM 100 Chemical Science
BUS ADM 100 Introduction to Business
