to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,THEA 184,UW-Eau Claire,,Costume Crew,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,THEA 185,UW-Eau Claire,,Publicity/Program,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,THEA 186,UW-Eau Claire,,Asst House Managr,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,THEA 187,UW-Eau Claire,,Spcl Efct/Snd Crw,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,THEA 188,UW-Eau Claire,,Stage Crew,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,THEA 189,UW-Eau Claire,,Asst Stage Managr,
UW Branch Campus,L,3.00,CTA 230,Literature & Performance,THEA 210,UW-Eau Claire,HU,Oral Interp-Lit,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,THEA 220,UW-Eau Claire,,Stage Makeup,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,THEA 227,UW-Eau Claire,HU,Musical Theatre,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,THEA 228,UW-Eau Claire,HU,Costuming,
UW Branch Campus,L,3.00,CTA 232,Intro Acting,THEA 230,UW-Eau Claire,AP,Beginning Acting,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,THEA 232,UW-Eau Claire,,Styles in Acting,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,THEA 239,UW-Eau Claire,,Stage Movement,
UW Branch Campus,L,1.00-3.00,CTA EL,Communication and Theatre Arts Elective,THEA 291,UW-Eau Claire,,Special Topics,8
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,THEA 331,UW-Eau Claire,,Styles in Acting,
UW Branch Campus,L,3.00,BUS 201,Intro Accounting,ACCT 201,UW-Eau Claire,AP,Intro to Acctg,
UW Branch Campus,L,3.00,BUS 204,Managerial Account,ACCT 202,UW-Eau Claire,AP,Prin of Acct,
UW Branch Campus,L,1.00,BUS EL,Business Elective,ACCT 210,UW-Eau Claire,,Ser-Learn in Acct,
UW Branch Campus,L,2.00,ART EL,Art Elective,ART 100,UW-Eau Claire,,Art Purposes,
UW Branch Campus,L,3.00-6.00,ART EL,Art Elective,ART 101,UW-Eau Claire,,Foundations I,8
UW Branch Campus,L,3.00-6.00,ART EL,Art Elective,ART 102,UW-Eau Claire,,Foundations II,8
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 105,UW-Eau Claire,HU,Intro-Visual Arts,
UW Branch Campus,L,2.00,ART 100,Basic Art Experiences,ART 106,UW-Eau Claire,AP,Visual Art-Studio,
UW Branch Campus,L,3.00,ART 111,Two-Dimensional Design,ART 107,UW-Eau Claire,AP,Found: Draw/Comp,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 108,UW-Eau Claire,AP,Found: Color/Comp,
UW Branch Campus,L,3.00,ART 201,Introduction to Life Drawing,ART 109,UW-Eau Claire,AP,Found: Life Draw,
UW Branch Campus,L,3.00,ART 112,Three-Dimensional Design,ART 110,UW-Eau Claire,AP,Foundations: 3-D,
UW Branch Campus,L,3.00,ART 101,Introduction to Drawing,ART 130,UW-Eau Claire,AP,Intro to Drawing,
UW Branch Campus,L,2.00,ART 180,Artist & Visual Arts,ART 132,UW-Eau Claire,FA,Theories & Concep,
UW Branch Campus,L,2.00,ART 111,Two-Dimensional Design,ART 135,UW-Eau Claire,AP,2-D Design,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 137,UW-Eau Claire,HU,Color,
UW Branch Campus,L,3.00,ART 103,Drawing II,ART 139,UW-Eau Claire,AP,Drawing,
UW Branch Campus,L,3.00,ART 112,Three-Dimensional Design,ART 237,UW-Eau Claire,AP,Three Dim Design,
UW Branch Campus,L,3.00,ART 103,Drawing II,ART 240,UW-Eau Claire,AP,Interm Drawing,
UW Branch Campus,L,3.00,ART 201,Introduction to Life Drawing,ART 241,UW-Eau Claire,AP,Life Drawing I,
UW Branch Campus,L,3.00,ART 125,Oil Painting,ART 244,UW-Eau Claire,AP,Intro to Painting,
UW Branch Campus,L,3.00,ART 122,Water-Based Media,ART 247,UW-Eau Claire,AP,Water-Media I,
UW Branch Campus,L,3.00,ART 141,Intro to Printmaking,ART 249,UW-Eau Claire,AP,Intro Printmaking,
UW Branch Campus,L,3.00,ART 247,Relief Printing,ART 250,UW-Eau Claire,AP,Print:Relief-Beg,
UW Branch Campus,L,3.00,ART 243,Intaglio,ART 251,UW-Eau Claire,AP,Print:Intag-Beg,
UW Branch Campus,L,3.00,ART 245,Serigraphy,ART 252,UW-Eau Claire,AP,Print:Serig-Beg,
UW Branch Campus,L,3.00,ART 241,Lithography,ART 253,UW-Eau Claire,AP,Print:Litho-Beg,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 260,UW-Eau Claire,AP,Fiber:Weaving-Beg,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 261,UW-Eau Claire,AP,Fibers Off Loom,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 262,UW-Eau Claire,AP,Fib-Sur Desgn Fab,
UW Branch Campus,L,3.00,ART 131,Intro to Sculpture,ART 264,UW-Eau Claire,AP,Begin Sculpture,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 266,UW-Eau Claire,AP,Fibers I,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 274,UW-Eau Claire,,Comp Des Prncpls,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 275,UW-Eau Claire,AP,Princ Typography,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 276,UW-Eau Claire,,Intro Visual Dsgn,
