,to,level,credits,course_2,title_2,course_1,from_,gen_ed,"title_1,special"
0,9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4615,,
1,9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4615,,
2,9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4615,,
3,9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4615,,
4,9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4615,,
5,9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4615,,
6,9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4615,MS,
7,9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4615,EL,
8,9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4615,,
9,9999,L,3.0,MAT 110,College Algebra,MATH (804) 152,4615,"MS,CR",
10,9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4615,"UCTA,MS",
11,9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4615,"MS,CR",
12,9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4615,MS,
13,9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4615,"UCTA,MS",
14,9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4615,MS,
15,9999,P,3.0,NDC,No Degree Credit,MATH (804) 200,4615,,
16,9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 201,4615,EL,
17,9999,L,2.0,MAT EL,Mathematics Elective,MATH (804) 202,4615,,
18,9999,L,2.0,MAT 105,Intro College Algebra,MATH (804) 203,4615,EL,
19,9999,L,4.0,CPS EL,Computer Sciences Elective,MATH (804) 206,4615,,
20,9999,L,2.0,CPS EL,Computer Sciences Elective,MATH (804) 207,4615,,
21,9999,L,4.0,CPS EL,Computer Sciences Elective,MATH (804) 208,4615,EL,
22,9999,L,3.0,MAT 108,Quantitative Reasoning,MATH (804) 211,4615,"CR,MS",
23,9999,L,3.0,MAT 110,College Algebra,MATH (804) 212,4615,"MS,CR",
24,9999,L,3.0,MAT 113,Trigonometry,MATH (804) 213,4615,MS,
25,9999,L,3.0,MAT 210,Topics in Finite Math,MATH (804) 220,4615,MS,
26,9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 229,4615,"UCTA,MS",
27,9999,L,5.0,MAT 221,Calc & Analy Geom I,MATH (804) 231,4615,MS,
28,9999,L,5.0,MAT 222,Calculus & Analytic Geom II,MATH (804) 232,4615,MS,
29,9999,L,5.0,MAT 223,Calculus  & Analytic Geom III,MATH (804) 233,4615,MS,
30,9999,L,4.0,MAT 117,Elementary Statistics,MATH (804) 240,4615,"UCTA,MS",
31,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 245,4615,MS,
32,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 246,4615,MS,
33,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 247,4615,MS,
34,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 248,4615,MS,
35,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 205,4615,AP,
