to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,2.00,EDU EL,Education Elective,EDUC 203,UW-Green Bay,,Envir Educ K-12 Schools,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDUC 206,UW-Green Bay,"SS, ES",Cult Images Mtrl Chld-Adol,
UW Branch Campus,L,2.00,EDU EL,Education Elective,EDUC 250,UW-Green Bay,,Fld Exper in Education,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDUC 280,UW-Green Bay,,Instructional Technologies,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDUC 281,UW-Green Bay,,Concep Found Elem Math I,
UW Branch Campus,L,1.00-4.00,EDU EL,Education Elective,EDUC 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,5.00,EDU EL,Education Elective,EDUC 290,UW-Green Bay,,Intro to Educ Inquiry,
UW Branch Campus,L,1.00-4.00,EDU EL,Education Elective,EDUC 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,P,3.00,NDC,No Degree Credit,ENG COMP 093,UW-Green Bay,,Fundamentals of Writing,5
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,ENG COMP 100,UW-Green Bay,"UCTA,EL",Eng Comp I,22
UW Branch Campus,L,3.00,ENG 102,"Crit Write, Read, and Research",ENG COMP 105,UW-Green Bay,CR,English Composition II,
UW Branch Campus,L,1.00,GEN EL,General Elective,ENG COMP 111,UW-Green Bay,,Making the Most of College,
UW Branch Campus,L,4.00,GEN EL,General Elective,ENG COMP 162,UW-Green Bay,,Esl:Reading & Expos Wrtg,
UW Branch Campus,L,3.00,GEN EL,General Elective,ENG COMP 164,UW-Green Bay,,Esl Composition,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG COMP 228,UW-Green Bay,,Writing About Education,
UW Branch Campus,L,1.00-4.00,ENG EL,English Elective,ENG COMP 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,ENG EL,English Elective,ENG COMP 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,1.00,LEC EL,Lecture Forum Elective,FR SEM 100,UW-Green Bay,,Introduction to College,
UW Branch Campus,L,1.00,LEC EL,Lecture Forum Elective,FR SEM 101,UW-Green Bay,,Intro to College-Adult Lrnr,
UW Branch Campus,L,1.00-4.00,LEC EL,Lecture Forum Elective,FR SEM 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00,GEN EL,General Elective,ENV SCI 101,UW-Green Bay,,Intro to Becoming a Scientist,
UW Branch Campus,L,3.00,GEO EL,Geography Elective,ENV SCI 102,UW-Green Bay,NS,Intro-Envir Sciences,
UW Branch Campus,L,3.00,AST 100,Surv of Astronomy,ENV SCI 141,UW-Green Bay,"NS,LS",Astronomy,
UW Branch Campus,L,3.00,AST EL,Astronomy Elective,ENV SCI 142,UW-Green Bay,NS,Exploration of the Universe,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,ENV SCI 188,UW-Green Bay,NS,Issues-Biol Conservation,
UW Branch Campus,L,3.00,GEN EL,General Elective,ENV SCI 190,UW-Green Bay,NS,Emergence of Western Tech,
UW Branch Campus,L,1.00,GEN EL,General Elective,ENV SCI 207,UW-Green Bay,,Laboratory Safety,
UW Branch Campus,L,3.00,GEN EL,General Elective,ENV SCI 260,UW-Green Bay,NS,Energy & Society,
UW Branch Campus,L,1.00-4.00,BIO EL,Biology Elective,ENV SCI 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,3.00,BIO EL,Biology Elective,ENV SCI 286,UW-Green Bay,NS,Forest Vegetation of Wisc,
UW Branch Campus,L,1.00-4.00,BIO EL,Biology Elective,ENV SCI 295,UW-Green Bay,,Special Topics,8
UW Branch Campus,L,1.00-4.00,BIO EL,Biology Elective,ENV SCI 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,3.00,GRA EL,Engineering Graphics Elective,ENGR 105,UW-Green Bay,,Engineering Graphics,
UW Branch Campus,L,4.00,EGR EL,Engineering Elective,ENGR 201,UW-Green Bay,,Engineering Materials,
UW Branch Campus,L,3.00,EGR EL,Engineering Elective,ENGR 210,UW-Green Bay,,Intro-Design Techniques,
UW Branch Campus,L,4.00,EGR EL,Engineering Elective,ENGR 234,UW-Green Bay,,Linear Systems Anal,
UW Branch Campus,L,3.00,EGR EL,Engineering Elective,ENGR 251,UW-Green Bay,,Prog For Science & Engr,
UW Branch Campus,L,1.00-4.00,EGR EL,Engineering Elective,ENGR 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,EGR EL,Engineering Elective,ENGR 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,3.00,AIS 242,American Indian in Lit & Film,FNS 210,UW-Green Bay,"ES,HU",American Indians in Film,
UW Branch Campus,L,3.00,AIS EL,American Indian Studies Elective,FNS 213,UW-Green Bay,ES,Ethnic Diversity-Human Val,
