to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
Chippewa Valley Tech. College,,3.00,COMMSK (801) 198,Speech,COMMSK (801) 198,Western Tech. College,UCTA,Speech,22
Gateway Tech. College,,1.00,COMPSOFT (103) 112,Microsoft Word,COMPSOFT (103) 101,Western Tech. College,,Intro to Ms Word,200
Gateway Tech. College,,1.00,COMPSOFT (103) 110,Microsoft Powerpoint,COMPSOFT (103) 104,Western Tech. College,,Intro to Ms Powerpoint,200
Gateway Tech. College,,3.00,FIRET (503) 139,Principles of Emergency Svcs,FIRET (503) 139,Western Tech. College,,Principles of Emergency Svcs,"200, 215"
Gateway Tech. College,,4.00,FIRET (503) 142,Fire Fighting Principles,FIRET (503) 142,Western Tech. College,,Fire Fighting Principles,"200, 215"
Gateway Tech. College,,3.00,FIRET (503) 143,Building Construction,FIRET (503) 143,Western Tech. College,,Building Construction,"200, 215"
Gateway Tech. College,,4.00,FIRET (503) 147,Fire Protection Systems,FIRET (503) 147,Western Tech. College,,Fire Protection Systems,"200, 215"
Gateway Tech. College,,4.00,FIRET (503) 151,Fire Prevention,FIRET (503) 151,Western Tech. College,,Fire Prevention,200
Gateway Tech. College,,4.00,FIRET (503) 152,Hazardous Materials,FIRET (503) 152,Western Tech. College,,Hazardous Materials,"200, 215"
Gateway Tech. College,,4.00,FIRET (503) 155,Fire Protection Hydraulics,FIRET (503) 155,Western Tech. College,,Fire Protection Hydraulics,"200, 215"
Gateway Tech. College,,4.00,FIRET (503) 156,"Strategies, Tactics & Inc Mgmt",FIRET (503) 156,Western Tech. College,,"Strategies, Tactics & Inc Mgmt","200, 215"
Gateway Tech. College,,3.00,FIRET (503) 157,Fire Investigation,FIRET (503) 157,Western Tech. College,,Fire Investigation,"200, 215"
Gateway Tech. College,,3.00,EARLYCHLD (307) 148,Ece: Foundations of Ece,EARLYCHLD (307) 148,Western Tech. College,,Ece: Foundations of Ece,"200, 215"
