course
A F AERO 101
LSC 1
LINGUIS 101
LITTRANS 201
UNIV FOR 500
L I S 201
SURG SCI 501
ZOOLOGY/​BIOLOGY  101
URB R PL/​GEOG  305
SURGERY 699
THEATRE/​ENGL  120
S&A PHM/​NURSING/​SOC WORK  105
SOIL SCI 1
STAT 301
SPANISH 101
SOC WORK 100
STS 201
SLAVIC 101
R M I 300
SR MED 812
SOC 120
SCAND ST 101
""
RHAB MED 699
RADIOL/​ANATOMY/​B M E/​MED PHYS/​PHMCOL-M/​PHYSICS  619
RELIG ST 101
RP & SE 100
REAL EST/​A A E/​ECON/​URB R PL  306
PSYCHIAT 699
PSYCH 100
PL PATH 1
PORTUG 101
PHYSIOL 699
POP HLTH 155
PHYSICS 103
PHY ASST 348
PHARMACY 125
PHY THER 500
POLI SCI 100
PHILOS 101
PHM PRAC 305
PHMCOL-M/​PHM SCI  521
PATH/​PATH-BIO  210
PHM SCI 310
PEDIAT 646
PATH-BIO 150
OPHTHALM 699
ONCOLOGY 401
OTM 300
OCC THER 100
OBS&GYN 699
NUTR SCI 1
NEURODPT 533
NTP/​NEURODPT  610
NEURSURG 699
N E 1
NEUROL 699
NAV SCI 101
NURSING 100
MOL BIOL 681
M&ENVTOX/​ENVIR ST/​PL PATH  368
MIL SCI 101
MUS PERF 7
MICROBIO 1
MED SC-V 570
MED SC-M 699
MEDICINE/​KINES/​NURSING  523
MEDIEVAL/​HISTORY/​RELIG ST  112
MED PHYS/​PHYSICS  265
MUSIC 34
M M & I 301
MD GENET/​GENETICS/​ZOOLOGY  562
MED HIST/​HIST SCI/​HISTORY  132
MARKETNG 300
M S & E 1
LEGAL ST/​SOC  131
M H R 300
M E 1
LACIS/​AFROAMER/​ANTHRO/​C&E SOC/​GEOG/​HISTORY/​POLI SCI/​SOC/​SPANISH  260
MATH 96
LATIN 103
LAW/​ACCT I S  329
LCA 101
LAND ARC 1
PUB AFFR 200
LCA LANG 301
KINES 100
JOURN 162
JEWISH 202
ITALIAN 100
INTL BUS 200
INTL ST 101
INTER-HE 201
STDYABRD 100
INTER-LS 101
INFO SYS 365
INTEGSCI 100
INTEREGR 101
INTER-AG 2
ILS/​ENVIR ST  126
INTEGART 110
I SY E 1
H ONCOL/​MED PHYS  410
HDFS 253
HEBR-MOD 101
HEBR-BIB 103
HIST SCI/​ENVIR ST/​HISTORY  125
HORT 1
GREEK 103
GNS/​HISTORY  265
G L E 1
GEOSCI 100
GEN BUS 100
GERMAN 101
HISTORY 101
GEOG 101
GENETICS 1
GEN&WS 100
FRENCH 101
FOOD SCI 1
FOLKLORE 100
F&W ECOL 1
FISC 20
FAM MED 699
FINANCE/​ECON  300
ESL 110
E P 271
E P D 151
ENTOM 1
EMER MED 699
E M A 1
ED PSYCH 215
ELPA/​COUN PSY  350
ENVIR ST/​SOIL SCI  101
ENGL 100
E C E 1
ED POL/​HISTORY  107
ECON 100
E A STDS/​HISTORY  103
DS 101
DY SCI 1
DANCE 1
E ASIAN 101
COUN PSY 105
CNSR SCI 111
COMP LIT 201
COMP BIO 500
CURRIC 209
COMP SCI 200
CSCS 125
CNP 306
CLASSICS 100
C&E SOC 1
CS&D 110
COM ARTS 100
CRB 610
CHICLA/​AFROAMER/​AMER IND/​ASIAN AM/​FOLKLORE  102
CBE 1
CIV ENGR 1
CHEM 101
B M I/​POP HLTH  451
BOTANY 100
BMOLCHEM 314
B M E 1
BIOCORE 381
BIOLOGY/​ZOOLOGY  101
BSE 1
""
BIOCHEM 1
ATM OCN 100
ASTRON 103
ASIAN 100
ASIAN AM 101
ART ED/​CURRIC  322
ANATOMY 329
ANAT&PHY 335
ART HIST 101
ANESTHES 699
AN SCI 1
ART 100
ANTHRO 100
AGROECOL/​AGRONOMY/​C&E SOC/​ENTOM/​ENVIR ST  103
AMER IND 100
AGRONOMY 1
A A E 1
ACT SCI 300
""
AFROAMER/​AMER IND/​ASIAN AM/​CHICLA/​FOLKLORE  102
ACCT I S 100
AFRICAN 100
